,0
0,Ada Forest Hills Eastern HS
1,Grand Rapids Christian HS
2,Grosse Ile HS
3,Goodrich HS
4,Petoskey HS
5,Bay City John Glenn HS
6,Fruitport HS
7,Hamilton HS
8,Charlotte HS
9,Vicksburg HS
10,Milan HS
11,Dearborn Divine Child HS
12,Hazel Park HS
13,Madison Heights Lamphere HS
14,Flint Powers Catholic HS
15,Richmond HS
16,Howard City Tri County HS
17,Allendale HS
18,Grand Rapids Catholic Central HS
19,Grand Rapids South Christian HS
20,Berrien Springs HS
21,Williamston HS
22,Cheboygan HS
23,Clare HS
24,Jackson Northwest HS
25,Carleton Airport HS
26,Livonia Clarenceville HS
27,Harper Woods HS
28,Macomb Lutheran North HS
29,Croswell-Lexington HS
30,Saginaw Swan Valley HS
31,Escanaba HS
32,Marquette HS
33,Sault Ste Marie HS
34,Cadillac HS
35,Ogemaw Heights HS
36,Gaylord HS
37,Gladwin HS
38,Ludington HS
39,Remus Chippewa Hills HS
40,Essexville Garber HS
41,Midland Bullock Creek HS
42,Shepherd HS
43,Muskegon Oakridge HS
44,Spring Lake HS
45,Whitehall HS
46,Alma HS
47,Grant HS
48,Newaygo HS
49,Comstock Park HS
50,Grand Rapids West Catholic HS
51,Coopersville HS
52,Belding HS
53,St Johns HS
54,Portland HS
55,Zeeland East HS
56,Holland Christian HS
57,South Haven HS
58,Wyoming Kelloggsville HS
59,Hudsonville Unity Christian HS
60,Wyoming Godwin Heights HS
61,Hopkins HS
62,Wayland HS
63,Otsego HS
64,East Grand Rapids HS
65,Hastings HS
66,Middleville Thornapple Kellogg HS
67,Stevensville Lakeshore HS
68,Dowagiac HS
69,Edwardsburg HS
70,Parchment HS
71,Paw Paw HS
72,Three Rivers HS
73,Marshall HS
74,Battle Creek Pennfield HS
75,Olivet HS
76,Richland Gull Lake HS
77,Lansing Sexton HS
78,Eaton Rapids HS
79,Lansing Eastern HS
80,Parma Western HS
81,Adrian HS
82,Tecumseh HS
83,Ann Arbor Father Gabriel Richard HS
84,Pinckney HS
85,Dundee HS
86,Monroe Jefferson HS
87,Flat Rock HS
88,New Boston Huron HS
89,Garden City HS
90,Dearborn Henry Ford Academy HS
91,Dearborn Heights Annapolis HS
92,Redford Union HS
93,Detroit Communication Media Arts HS
94,Detroit Henry Ford HS
95,Riverview HS
96,Trenton HS
97,Detroit Martin Luther King HS
98,Harper Woods Chandler Park HS
99,Detroit Country Day HS
100,Bloomfield Hills Cranbrook Kingswood HS
101,Pontiac Notre Dame Prep HS
102,Marine City HS
103,St Clair HS
104,Marysville HS
105,Imlay City HS
106,Yale HS
107,North Branch HS
108,Carrollton HS
109,Saginaw Arthur Hill HS
110,Saginaw HS
111,Frankenmuth HS
112,Clio HS
113,Birch Run HS
114,Corunna HS
115,Owosso HS
116,Haslett HS
117,Linden HS
118,Ortonville Brandon HS
119,Lake Fenton HS
120,Detroit University Prep HS
121,Detroit Mumford HS
122,Warren Fitzgerald HS
123,Detroit East English HS
124,Center Line HS
125,Eastpointe HS
126,Kingsford HS
127,Kingsley HS
128,Big Rapids HS
129,Freeland HS
130,Muskegon Orchard View HS
131,Fremont HS
132,Sparta HS
133,Ionia HS
134,Allegan HS
135,Grand Rapids West Michigan Aviation Academy HS
136,Niles HS
137,Plainwell HS
138,Battle Creek Harper Creek HS
139,Lake Odessa Lakewood HS
140,Romulus Summit Academy North HS
141,Armada HS
142,Flint Hamady HS
143,Fowlerville HS
144,Chelsea HS
