,school,Done already?,,
0,Charlotte HS,x,,
1,Vicksburg HS,,,
2,Milan HS,,,
3,Dearborn Divine Child HS,,,
4,Hazel Park HS,,,
5,Madison Heights Lamphere HS,,,
6,Flint Powers Catholic HS,x,,
7,Richmond HS,,,
8,Howard City Tri County HS,x,,
9,Allendale HS,,,
10,Grand Rapids Catholic Central HS,x,,
11,Grand Rapids South Christian HS,x,,
12,Berrien Springs HS,x,,
13,Williamston HS,x,,
14,Clare HS,?,,
15,Jackson Northwest HS,x,,
16,Carleton Airport HS,x,,
17,Livonia Clarenceville HS,,,
18,Harper Woods HS,x,,
19,Macomb Lutheran North HS,,,
20,Croswell-Lexington HS,,,
21,Saginaw Swan Valley HS,x,,
22,Escanaba HS,,,
23,Marquette HS,,,
24,Sault Ste Marie HS,,,
25,Cadillac HS,x,,
26,Ogemaw Heights HS,,,
27,Gaylord HS,x,,
28,Gladwin HS,x,,
29,Ludington HS,,,
30,Remus Chippewa Hills HS,x,,
31,Midland Bullock Creek HS,x,,
32,Shepherd HS,x,,
33,Muskegon Oakridge HS,,,
34,Spring Lake HS,,,
35,Whitehall HS,,,
36,Alma HS,,,
37,Grant HS,,,
38,Newaygo HS,,,
39,Comstock Park HS,,,
40,Grand Rapids West Catholic HS,x,,
41,Coopersville HS,,,
42,Belding HS,,,
43,St Johns HS,x,,
44,Portland HS,x,,
45,Zeeland East HS,,,
46,Holland Christian HS,?,,
47,South Haven HS,x,,
48,Wyoming Kelloggsville HS,,,
49,Hudsonville Unity Christian HS,?,,
50,Wyoming Godwin Heights HS,,,
51,Hopkins HS,,,
52,Wayland HS,,,
53,Otsego HS,,,
54,East Grand Rapids HS,,,
55,Hastings HS,,,
56,Middleville Thornapple Kellogg HS,,,
57,Stevensville Lakeshore HS,,,
58,Dowagiac HS,,,
59,Parchment HS,,,
60,Paw Paw HS,,,
61,Three Rivers HS,x,,
62,Marshall HS,x,,
63,Battle Creek Pennfield HS,x,,
64,Olivet HS,x,,
65,Richland Gull Lake HS,x,,
66,Lansing Sexton HS,x,,
67,Eaton Rapids HS,x,,
68,Lansing Eastern HS,x,,
69,Parma Western HS,,,
70,Adrian HS,,,
71,Tecumseh HS,,,
72,Ann Arbor Father Gabriel Richard HS,,,
73,Pinckney HS,,,
74,Dundee HS,,,
75,Monroe Jefferson HS,,,
76,Flat Rock HS,,,
77,New Boston Huron HS,,,
78,Garden City HS,,,
79,Dearborn Henry Ford Academy HS,,,
80,Dearborn Heights Annapolis HS,,,
81,Redford Union HS,,,
82,Detroit Communication Media Arts HS,,,
83,Detroit Henry Ford HS,,,
84,Riverview HS,,,
85,Trenton HS,x,,
86,Detroit Martin Luther King HS,,,
87,Harper Woods Chandler Park HS,,,
88,Bloomfield Hills Cranbrook Kingswood HS,,,
89,Pontiac Notre Dame Prep HS,,,
90,Marine City HS,,,
91,Marysville HS,,,
92,Imlay City HS,,,
93,Yale HS,,,
94,North Branch HS,,,
95,Carrollton HS,,,
96,Saginaw Arthur Hill HS,,,
97,Saginaw HS,,,
98,Frankenmuth HS,,,
99,Clio HS,,,
100,Birch Run HS,,,
101,Corunna HS,,,
