Column1,school,Done already?,Column2,
14,Clare HS,?,,
46,Holland Christian HS,?,,
49,Hudsonville Unity Christian HS,?,,
191,Perry HS,?,,
194,Centreville HS,?,,
403,Fife Lake Forest Area HS,?,,
,,,,
0,Charlotte HS,x,,
6,Flint Powers Catholic HS,x,,
8,Howard City Tri County HS,x,,
10,Grand Rapids Catholic Central HS,x,,
11,Grand Rapids South Christian HS,x,,
12,Berrien Springs HS,x,,
13,Williamston HS,x,,
15,Jackson Northwest HS,x,,
16,Carleton Airport HS,x,,
18,Harper Woods HS,x,,
21,Saginaw Swan Valley HS,x,,
25,Cadillac HS,x,,
27,Gaylord HS,x,,
28,Gladwin HS,x,,
30,Remus Chippewa Hills HS,x,,
31,Midland Bullock Creek HS,x,,
32,Shepherd HS,x,,
40,Grand Rapids West Catholic HS,x,,
43,St Johns HS,x,,
44,Portland HS,x,,
47,South Haven HS,x,,
50,Wyoming Godwin Heights HS,x,,
51,Hopkins HS,x,,
53,Otsego HS,x,,
61,Three Rivers HS,x,,
62,Marshall HS,x,,
63,Battle Creek Pennfield HS,x,,
64,Olivet HS,x,,
65,Richland Gull Lake HS,x,,
66,Lansing Sexton HS,x,,
67,Eaton Rapids HS,x,,
68,Lansing Eastern HS,x,,
85,Trenton HS,x,,
102,Haslett HS,x,,
132,Traverse City St Francis HS,x,,
137,Clinton HS,x,,
139,Algonac HS,x,,
140,Ecorse HS,x,,
182,Ithaca HS,x,,
183,Saranac HS,x,,
187,Potterville HS,x,,
188,Springport HS,x,,
190,Durand HS,x,,
202,Leslie HS,x,,
203,Michigan Center HS,x,,
204,Stockbridge HS,x,,
205,Grass Lake HS,x,,
206,Manchester HS,x,,
208,Adrian Madison HS,x,,
209,Brooklyn Columbia Central HS,x,,
212,Erie Mason HS,x,,
235,Calumet HS,x,Wolverine Baseball Field,North of high school outside of town
239,New Haven HS,x,,
255,Bath HS,x,,
276,Royal Oak Shrine Catholic HS,x,,
284,Portland St Patrick HS,x,,
286,Pittsford HS,x,,
290,Harbor Beach HS,x,,
291,Lake Leelanau St Mary HS,x,,
292,Suttons Bay HS,x,,
293,Buckley HS,x,,
294,Central Lake HS,x,,
295,Bellaire HS,x,,
296,Ellsworth HS,x,,
297,Atlanta HS,x,,
299,Au Gres-Sims HS,x,,
300,Hale HS,x,,
301,Mio HS,x,,
302,Coleman HS,x,,
304,Marion HS,x,,
305,Holton HS,x,,
306,Muskegon Western Michigan Christian HS,x,,
311,Lansing Christian HS,x,,
312,Webberville HS,x,,
313,Blanchard Montabella HS,x,,
314,Carson City-Crystal HS,x,,
315,Fulton HS,x,,
316,Saginaw Nouvel HS,x,,
317,Ashley HS,x,,
318,Merrill HS,x,,
321,Lawrence HS,x,,
322,Cassopolis HS,x,,
378,Ubly HS,x,,
383,L'Anse HS,x,,
388,Posen HS,x,,
391,Martin HS,x,,
392,Vestaburg HS,x,,
397,Adrian Lenawee Christian HS,x,,
398,Novi Christian Academy HS,x,,
401,Genesee HS,x,,
402,Deckerville HS,x,,
1,Vicksburg HS,,,
2,Milan HS,,,
3,Dearborn Divine Child HS,,"not sure. No field on campus not far from a field at ""Central Park""",
4,Hazel Park HS,,,
5,Madison Heights Lamphere HS,,,
7,Richmond HS,,,
9,Allendale HS,,,
17,Livonia Clarenceville HS,,,
19,Macomb Lutheran North HS,,,
20,Croswell-Lexington HS,,,
22,Escanaba HS,x,,
23,Marquette HS,x,,
24,Sault Ste Marie HS,x,,
26,Ogemaw Heights HS,,,
29,Ludington HS,,,
33,Muskegon Oakridge HS,,,
34,Spring Lake HS,,,
35,Whitehall HS,,,
36,Alma HS,,,
37,Grant HS,,,
38,Newaygo HS,,,
39,Comstock Park HS,,,
41,Coopersville HS,,,
42,Belding HS,,,
45,Zeeland East HS,,,
48,Wyoming Kelloggsville HS,,,
52,Wayland HS,,temp fence. No perm fence on google map. Need to look on earth,
54,East Grand Rapids HS,x,,
55,Hastings HS,,,
56,Middleville Thornapple Kellogg HS,,,
57,Stevensville Lakeshore HS,,,
58,Dowagiac HS,x,,
59,Parchment HS,,,
60,Paw Paw HS,x,,
69,Parma Western HS,x,,
70,Adrian HS,x,,
71,Tecumseh HS,x,,
72,Ann Arbor Father Gabriel Richard HS,,crappy field on campus. No borders,
73,Pinckney HS,x,,
74,Dundee HS,x,,
75,Monroe Jefferson HS,,,
76,Flat Rock HS,x,,
77,New Boston Huron HS,x,,
78,Garden City HS,x,,
79,Dearborn Henry Ford Academy HS,,,
80,Dearborn Heights Annapolis HS,,,
81,Redford Union HS,,,
82,Detroit Communication Media Arts HS,,,
83,Detroit Henry Ford HS,,,
84,Riverview HS,x,,
86,Detroit Martin Luther King HS,x,,
87,Harper Woods Chandler Park HS,,,
88,Bloomfield Hills Cranbrook Kingswood HS,x,,
89,Pontiac Notre Dame Prep HS,,,
90,Marine City HS,x,,
91,Marysville HS,,,
92,Imlay City HS,,,
93,Yale HS,x,,
94,North Branch HS,x,,
95,Carrollton HS,x,,
96,Saginaw Arthur Hill HS,x,,
97,Saginaw HS,x,,
98,Frankenmuth HS,x,,
99,Clio HS,x,,
100,Birch Run HS,x,,
101,Corunna HS,x,,
103,Linden HS,x,,
104,Ortonville Brandon HS,x,,
105,Lake Fenton HS,x,,
106,Detroit University Prep HS,,,
107,Detroit Mumford HS,x,,
108,Warren Fitzgerald HS,x,located at middle school north of main building,
109,Detroit East English HS,,,
110,Center Line HS,,,
111,Eastpointe HS,,,
112,Kingsford HS,x,,
113,Kingsley HS,x,,
114,Big Rapids HS,x,,
115,Freeland HS,x,,
116,Muskegon Orchard View HS,x,,
117,Fremont HS,,,
118,Sparta HS,x,,
119,Ionia HS,,,
120,Allegan HS,,,
