Location,Map Link,Division,plot_match,score
MacDonald Middle School  East Lansing  ,http://maps.google.com/maps?q=MacDonald+Middle+School+1601+Burcham+Drive++East+Lansing%2c+MI+48823,A,Detroit East English HS,86
Northville HS    ,http://maps.google.com/maps?q=Northville+High+School+-+Baseball+45700+W.+Six+Mile+Rd.++Northville%2c+MI+,A,Northville HS,100
Lincoln   Ypsilanti  ,http://maps.google.com/maps?q=Lincoln+Baseball+7425+Willis+Road++Ypsilanti%2c+MI+,A,Ypsilanti - Lincoln HS,95
Coldwater HS (Coldwater @ Borden Field)  ,http://maps.google.com/maps?q=Coldwater+High+School+275+N+Fremont+St++Coldwater%2c+Mi+0,A,Coldwater HS,90
Borden Field  Coldwater  ,http://maps.google.com/maps?q=Borden+Field++Coldwater+275+North+Freemont+St++Coldwater%2c+MI+49036,A,Coldwater HS,86
James Gulliver Field    Allen Park  ,http://maps.google.com/maps?q=James+Gulliver+Field+-+Baseball+18401Champaign++Allen+Park%2c+MI+,A,Alma HS - JV -Field 2,86
Stevenson HS  Sterling Heights  ,http://maps.google.com/maps?q=Stevenson+High+School+39701+Dodge+Park+Rd.++Sterling+Heights%2c+MI+,A,Sterling Heights Stevenson HS,95
Grosse Pointe North  ,http://maps.google.com/maps?q=Grosse+Pointe+North+707+Vernier++Grosse+Pointe%2c+MI+48236,A,Gross Pointe North HS,90
Troy Athens HS    ,http://maps.google.com/maps?q=Troy+Athens+High+School+-+Baseball+4333+John+R++Troy%2c+MI+48085,A,Troy - Athens HS,95
Wayne State University ( Diamond)  Detroit  ,http://maps.google.com/maps?q=Wayne+State+University+42+W+Warren+Ave.++Detroit%2c+MI+48202,A,Wayne State Univ ,90
Saginaw Heritage  ,http://maps.google.com/maps?q=Saginaw+Heritage+3465+North+Center+Rd++Saginaw%2c+MI+48603,A,Saginaw Heritage HS,95
Portage Northern HS    ,http://maps.google.com/maps?q=Portage+Northern+HS+-+Baseball+1000+Idaho+Street++Portage%2c+MI+,A,Portage Northern HS,100
Jenison HS    ,http://maps.google.com/maps?q=Jenison+High+School+-+Baseball+2140+Bauer+Road++Jenison%2c+MI+,A,Jenison HS,100
Cornerstone U. ( Field)  Grand Rapids  ,http://maps.google.com/maps?q=Cornerstone+U.+1001+East+Beltline+NE++Grand+Rapids%2c+Mi+49525,A,Alma HS - JV -Field 2,86
Mt. Pleasant HS    ,http://maps.google.com/maps?q=Mt.+Pleasant+High+School+-+Baseball+1155+S.+Elizabeth++Mt.+Pleasant%2c+MI+,A,Mt Pleasant HS,97
Novi HS    ,http://maps.google.com/maps?q=Novi+High+School+-+Baseball+24062+Taft+Road++Novi%2c+MI+,A,Novi HS,100
Joe Pitock Field  ,http://maps.google.com/maps?q=Joe+Pitock+Field+++%2c+MI+,A,Flint Kearsley HS - Field 2,86
Rochester HS  Rochester Hills  ,http://maps.google.com/maps?q=Rochester+High+School+180+S+Livernois+Road++Rochester+Hills%2c+MI+0,A,Rochester Hills Lutheran Northwest HS,95
West Bloomfield   ,http://maps.google.com/maps?q=West+Bloomfield++4925+Orchard+Lake+Rd++West+Bloomfield%2c+MI+48323,A,West Bloomfield HS,95
Novi  ,http://maps.google.com/maps?q=Novi+24062+Taft+Rd++Novi%2c+MI+48375,A,Novi Christian Academy HS,90
Eastern Michigan Univ.  Ypsilanti (Oestrike Stadium)  ,http://maps.google.com/maps?q=Eastern+Michigan+Univ.+-+Ypsilanti+799+N+Hewitt+Rd.++Ypsilanti%2c+MI+48197,B,St Joseph Michigan Lutheran HS,86
Trenton  Stadium  ,http://maps.google.com/maps?q=Trenton+Baseball+Stadium+2601+Charlton++Trenton%2c+MI+,B,Trenton HS,86
Clarenceville HS  Livonia (Stadium)  ,http://maps.google.com/maps?q=Clarenceville+High+School+-+Livonia+20155+Middlebelt+Rd.++Livonia%2c+MI+48152-2092,B,Livonia - Clarenceville HS,95
Airport HS  Carleton (Varsity  Field)  ,http://maps.google.com/maps?q=Airport+High+School+-+Carleton+11330+Grafton+Rd++Carleton%2c+MI+48117-9392,B,Morenci HS,86
Livonia Franklin  ,http://maps.google.com/maps?q=Livonia+Franklin+31000+Joy+Rd++Livonia%2c+MI+48150,B,Livonia Franklin HS,95
Maroons Field  Holland  ,http://maps.google.com/maps?q=Maroons+Field+950+Ottawa+Ave.++Holland%2c+MI+,B,Detroit Catholic Central HS - Field 2,86
Eaton Rapids  Field  ,http://maps.google.com/maps?q=Eaton+Rapids+Baseball+Field+805+Plains++Eaton+Rapids%2c+MI+,B,Eaton Rapid HS Field 2,88
Edwardsburg  Field  ,http://maps.google.com/maps?q=Edwardsburg+Baseball+Field+69410+Section+St++Edwardsburg+%2c+MI+,B,Flint Kearsley HS - Field 2,86
Gainey Athletic Complex    Grand Rapids  ,http://maps.google.com/maps?q=Gainey+Athletic+Complex+-+Baseball+1661+East+Paris+SE++Grand+Rapids%2c+MI+,B,Grand Rapids Union HS,86
Hope College  Holland  ,http://maps.google.com/maps?q=Hope+College+225+Fairbanks+Ave++Holland%2c+MI+49423,B,Hope College,90
Turcott Field  Petoskey  ,http://maps.google.com/maps?q=Turcott+Field+1004+Charlevoix+Ave.++Petoskey%2c+MI+49770,B,Detroit Catholic Central HS - Field 2,86
Ionia  ,http://maps.google.com/maps?q=Ionia+250+E+Tuttle++Ionia%2c+MI+48846,B,Ionia HS,90
John C. Huizenga Field  Whitehall  ,http://maps.google.com/maps?q=John+C.+Huizenga+Field+401+S.+Elizabeth+St++Whitehall%2c+MI+,B,Alma HS - JV -Field 2,86
Wilmot Field (Wilmot)  Gladwin  ,http://maps.google.com/maps?q=Wilmot+Field+N.+Bowery+Street++Gladwin%2c+MI+,B,Elisabeth Ann Johnson HS (Mt Morris) - Field 1,86
Clare HS  ,http://maps.google.com/maps?q=Clare+HS+306+Schoolcrest++Clare%2c+MI+48617,B,Clare HS,100
Centennial Field  Beverly Hills  ,http://maps.google.com/maps?q=Centennial+Field+22305+West+Thirteen+Mile++Beverly+Hills%2c+MI+,B,Grand Rapids Forest Hills Northern HS - practice,86
Williamston HS    ,http://maps.google.com/maps?q=Williamston+High+School+-+Baseball+2090+Mitchell+Rd.++Williamston%2c+MI+48895,B,Williamston HS,100
Saginaw Swan Valley  ,http://maps.google.com/maps?q=Saginaw+Swan+Valley+8400+O%27+Hern+Rd++Saginaw%2c+MI+48609,B,Saginaw Swan Valley HS,95
Richmond  Facility  ,http://maps.google.com/maps?q=Richmond+Baseball+Facility+35320+Division++Richmond+%2c+MI+,B,Richmond HS,86
SVSU ( Diamond)  Saginaw  ,http://maps.google.com/maps?q=SVSU+7300+Davis+Rd++Saginaw%2c+MI+48604,B,Saginaw HS,86
Ecorse HS (Lorenzo Croft Gymnasium)  ,http://maps.google.com/maps?q=Ecorse+High+School+27385+W.+Outer+Drive++Ecorse%2c+MI+48229,C,Ecorse HS,90
