School,FOP,Foul
Charlotte High School,"POLYGON ((-84.8551165 42.5604691, -84.8551111 42.5596206, -84.8550119 42.5596275, -84.8549019 42.5596354, -84.8548295 42.5596414, -84.8547571 42.5596512, -84.8546739 42.5596591, -84.8545988 42.5596749, -84.854521 42.5596888, -84.8544325 42.5597105, -84.8543601 42.5597283, -84.8542957 42.5597461, -84.8542206 42.5597717, -84.8541831 42.5597876, -84.8541683 42.5597974, -84.8541388 42.5598508, -84.8540986 42.559916, -84.8540745 42.5599614, -84.8540181 42.5601086, -84.8539833 42.5602469, -84.8539591 42.5603338, -84.853935 42.5604385, -84.8539296 42.560482, -84.8551165 42.5604691))","POLYGON ((-84.8551165 42.5604691, -84.8539296 42.560482, -84.8539229 42.5606341, -84.8547705 42.5606302, -84.8549448 42.5606262, -84.8551567 42.5606005, -84.8553042 42.5604879, -84.8553311 42.5603289, -84.8553311 42.560242, -84.8552667 42.5596107, -84.8551111 42.5596206, -84.8551165 42.5604691))"
Dewitt HS,"POLYGON ((-84.5810277 42.8262729, -84.5810518 42.8270902, -84.5811135 42.8270952, -84.581194 42.8270971, -84.5812396 42.8270932, -84.5812959 42.8270932, -84.5813978 42.8270952, -84.5814944 42.8270893, -84.5815802 42.8270794, -84.5816312 42.8270775, -84.5816875 42.8270637, -84.5817573 42.827044, -84.5818377 42.8270165, -84.5819155 42.8269909, -84.5820255 42.8269555, -84.5821113 42.8269299, -84.5821408 42.8269201, -84.5821475 42.8268394, -84.5821569 42.826263, -84.5810277 42.8262729))","POLYGON ((-84.5810277 42.8262729, -84.5821569 42.826263, -84.5821542 42.8262296, -84.5814703 42.8261529, -84.5813737 42.8261588, -84.5813657 42.8261824, -84.581194 42.8261824, -84.581194 42.8261667, -84.5809526 42.8261706, -84.5808775 42.8262158, -84.5808775 42.8263909, -84.5809124 42.8263948, -84.580915 42.8264873, -84.5808775 42.8264853, -84.5808775 42.8265955, -84.5809043 42.8267047, -84.5809687 42.8269742, -84.5809928 42.8270883, -84.5810518 42.8270902, -84.5810277 42.8262729))"
Eastern HS,"POLYGON ((-84.5355748 42.7372929, -84.534738 42.7378952, -84.5347822 42.7379385, -84.5348151 42.7379705, -84.5348567 42.738003, -84.5349036 42.7380336, -84.5349452 42.7380592, -84.5350015 42.7380897, -84.5350525 42.7381183, -84.5351081 42.7381459, -84.5351631 42.7381685, -84.5352181 42.7381872, -84.5353173 42.7382153, -84.5353589 42.7382261, -84.5354474 42.7382429, -84.5354877 42.7382468, -84.5355279 42.7382488, -84.5355735 42.7382517, -84.5356191 42.7382488, -84.5356989 42.738236, -84.5357606 42.7382261, -84.5358102 42.7382173, -84.5358934 42.7381946, -84.5359363 42.7381789, -84.5359792 42.7381651, -84.5360221 42.7381473, -84.5360436 42.7381355, -84.5360798 42.7381188, -84.5361857 42.7380419, -84.5363889 42.7379006, -84.5355748 42.7372929))","POLYGON ((-84.5355748 42.7372929, -84.5363943 42.7379044, -84.5365324 42.7378098, -84.5356338 42.7370987, -84.5355199 42.7371016, -84.5347132 42.7376838, -84.5347172 42.7378778, -84.534738 42.7378952, -84.5355748 42.7372929))"
Eaton Rapids 1,"POLYGON ((-84.6343752 42.5124558, -84.6344369 42.5125359, -84.6344691 42.5125734, -84.6344986 42.5126071, -84.6345871 42.5126782, -84.6346381 42.5127158, -84.6346917 42.5127534, -84.6347508 42.512787, -84.6348098 42.5128206, -84.6348795 42.5128443, -84.6349466 42.5128641, -84.6350136 42.5128779, -84.6350753 42.5128838, -84.635247 42.5128918, -84.6353382 42.5128878, -84.6354374 42.5128641, -84.6354964 42.5128384, -84.635593 42.5127949, -84.6356252 42.5127771, -84.6356761 42.5127455, -84.6357271 42.5127079, -84.635778 42.5126782, -84.6358236 42.5126446, -84.6358478 42.512611, -84.6358934 42.5125655, -84.6359282 42.512528, -84.6359524 42.5124864, -84.6359819 42.512439, -84.6360033 42.5123965, -84.635145 42.5118192, -84.6343752 42.5124558))","POLYGON ((-84.635145 42.5118192, -84.6360033 42.5123965, -84.6360248 42.5123352, -84.6360597 42.5122126, -84.6351987 42.5116481, -84.6350673 42.5116501, -84.6342908 42.5122868, -84.6342908 42.5123026, -84.6343176 42.512356, -84.634339 42.5123915, -84.6343752 42.5124558, -84.635145 42.5118192))"
Eaton Rapids 2,"POLYGON ((-84.6350135 42.5110331, -84.6357203 42.5104755, -84.6356666 42.5103924, -84.6356317 42.5103489, -84.6355888 42.5103035, -84.6355593 42.5102778, -84.6355003 42.5102323, -84.6354467 42.5101908, -84.6353903 42.5101532, -84.6353152 42.5101117, -84.6352254 42.5100751, -84.6351557 42.5100534, -84.6350859 42.5100375, -84.635035 42.5100296, -84.634992 42.5100296, -84.6349384 42.5100316, -84.6348713 42.5100415, -84.6348096 42.5100534, -84.6347506 42.5100731, -84.6346836 42.5101008, -84.6346273 42.5101305, -84.6345682 42.5101661, -84.6345226 42.5101957, -84.6344395 42.5102689, -84.6343885 42.5103223, -84.6343376 42.5103737, -84.6343027 42.5104152, -84.6342866 42.5104429, -84.6342571 42.510517, -84.6350135 42.5110331))","POLYGON ((-84.6350135 42.5110331, -84.6342571 42.510517, -84.6342196 42.510606, -84.6342061 42.5106495, -84.6341954 42.5107009, -84.6349719 42.5112179, -84.6350899 42.511214, -84.6357954 42.5106455, -84.6357578 42.5105447, -84.635739 42.5105032, -84.6357203 42.5104755, -84.6350135 42.5110331))"
Everett HS,"POLYGON ((-84.5561434 42.6905115, -84.5549478 42.6904952, -84.5549438 42.6910285, -84.5554112 42.691373, -84.5561193 42.691378, -84.5561434 42.6905115))","POLYGON ((-84.5561434 42.6905115, -84.5561193 42.691378, -84.5564106 42.6913789, -84.5563482 42.6911921, -84.5562758 42.6911862, -84.5563321 42.6909699, -84.5562852 42.6909639, -84.5562972 42.6907426, -84.5562838 42.6907338, -84.5562959 42.6906175, -84.556312 42.6905174, -84.5562812 42.6905184, -84.5562879 42.690478, -84.5562074 42.690407, -84.556147 42.690406, -84.5561457 42.6903513, -84.5559392 42.6903533, -84.5559419 42.6903897, -84.5558265 42.6903996, -84.5558279 42.6903809, -84.5556059 42.690374, -84.5556093 42.6902996, -84.5549508 42.6902996, -84.5549478 42.6904952, -84.5561434 42.6905115))"
Holt HS 1,"POLYGON ((-84.5799503 42.6367415, -84.5810982 42.6364258, -84.5810915 42.6364071, -84.581054 42.6363341, -84.5810057 42.6362413, -84.5809708 42.6361742, -84.5809387 42.6361209, -84.5808689 42.6360351, -84.580818 42.6359937, -84.5807804 42.6359582, -84.5807509 42.6359345, -84.5807134 42.6359167, -84.5806812 42.635895, -84.580598 42.6358575, -84.5805256 42.635826, -84.580429 42.6357944, -84.5803271 42.6357746, -84.5802547 42.6357687, -84.5801072 42.6357727, -84.5799838 42.6357885, -84.5797236 42.6358437, -84.5796887 42.6358496, -84.5795372 42.6358891, -84.5799503 42.6367415))","POLYGON ((-84.5799503 42.6367415, -84.5795372 42.6358891, -84.5794299 42.6359207, -84.5796177 42.6366251, -84.5796525 42.6366172, -84.5797679 42.63685, -84.5799529 42.6369132, -84.5802641 42.6368303, -84.5811412 42.63656, -84.5810982 42.6364258, -84.5799503 42.6367415))"
Holt HS 2,"POLYGON ((-84.5796448 42.6372277, -84.5784794 42.6375158, -84.5785062 42.637577, -84.5785411 42.6376352, -84.5786082 42.6377772, -84.5786457 42.6378364, -84.5786913 42.6378956, -84.5787423 42.637939, -84.5787879 42.6379844, -84.5788415 42.6380239, -84.5789113 42.6380693, -84.5789877 42.6381077, -84.5790843 42.6381433, -84.5791755 42.6381709, -84.579264 42.6381886, -84.57939 42.6382005, -84.5794705 42.6382025, -84.5795644 42.6381985, -84.5796422 42.6381867, -84.5797602 42.638163, -84.5800686 42.6380782, -84.5796448 42.6372277))","POLYGON ((-84.5796448 42.6372277, -84.5800686 42.6380782, -84.5802322 42.6380322, -84.58007 42.6374639, -84.5800002 42.6374816, -84.5798299 42.6371146, -84.5796475 42.6370594, -84.5789944 42.6372567, -84.5789595 42.6372054, -84.5784311 42.6374313, -84.5784794 42.6375158, -84.5796448 42.6372277))"
Lansing Catholic HS,"POLYGON ((-84.5276463 42.7374459, -84.5277228 42.7383003, -84.5288359 42.7382491, -84.5288466 42.7382265, -84.5288547 42.7381989, -84.5288627 42.7381629, -84.5288654 42.7381393, -84.5288694 42.7381088, -84.5288694 42.7380841, -84.5288694 42.7380536, -84.5288681 42.738026, -84.5288641 42.7379827, -84.5288573 42.7379453, -84.5288533 42.7379177, -84.5288386 42.7378802, -84.5288265 42.7378468, -84.5288044 42.7378078, -84.5287816 42.7377734, -84.5287601 42.7377438, -84.5287333 42.7377103, -84.5286897 42.7376665, -84.5286508 42.737631, -84.52862 42.7376074, -84.5285811 42.7375788, -84.5285328 42.7375493, -84.5284885 42.7375227, -84.5284255 42.7374922, -84.5283665 42.737471, -84.5282994 42.7374493, -84.5282445 42.7374355, -84.5281828 42.7374198, -84.5281345 42.7374119, -84.5280648 42.737405, -84.5279964 42.737403, -84.5279628 42.737402, -84.5279266 42.737403, -84.5278877 42.737405, -84.5278421 42.7374099, -84.5277831 42.7374178, -84.5277442 42.7374257, -84.5277027 42.7374335, -84.5276463 42.7374459))","POLYGON ((-84.5276463 42.7374459, -84.527611 42.7374574, -84.5275868 42.7374662, -84.5275868 42.7375431, -84.5276177 42.737544, -84.5276177 42.7375618, -84.5276472 42.7375637, -84.5276485 42.7377144, -84.5276391 42.7377135, -84.5276378 42.7377233, -84.5276069 42.7377243, -84.5276096 42.7379228, -84.5275406 42.7379809, -84.5275748 42.738331, -84.5277115 42.7384158, -84.5280884 42.738402, -84.528828 42.7382769, -84.5288401 42.7382463, -84.5277228 42.7383003, -84.5276463 42.7374459))"
St Johns HS,"POLYGON ((-84.5679294 42.9878827, -84.5667358 42.9879739, -84.5667224 42.9880465, -84.5667143 42.9880956, -84.5667117 42.9881387, -84.566717 42.9881858, -84.5667251 42.988229, -84.5667358 42.988282, -84.5667573 42.9883428, -84.5667814 42.9883918, -84.5667975 42.9884154, -84.5668404 42.9884801, -84.5668645 42.9885115, -84.5669021 42.9885508, -84.566945 42.9885881, -84.5670147 42.9886351, -84.5670738 42.9886705, -84.5671435 42.9887058, -84.5672159 42.9887391, -84.5672964 42.9887686, -84.5673688 42.9887862, -84.5674385 42.988798, -84.5675002 42.9888058, -84.5675646 42.9888137, -84.5676397 42.9888156, -84.5677094 42.9888137, -84.5677845 42.9888058, -84.5678677 42.988796, -84.5679213 42.9887843, -84.5679857 42.9887666, -84.5680367 42.988743, -84.5679294 42.9878827))","POLYGON ((-84.5679294 42.9878827, -84.5680367 42.988743, -84.5681097 42.9887144, -84.5681231 42.9886614, -84.5681928 42.9882239, -84.5681445 42.9877982, -84.5679917 42.9877118, -84.5668477 42.9877864, -84.5668021 42.9878413, -84.5667806 42.9878786, -84.5667565 42.9879218, -84.5667358 42.9879739, -84.5679294 42.9878827))"
