,field,level,size_factor,foul_ft,fop_ft,foul_pct,h_lon,h_lat,home_plate,min_distance,max_distance,avg_distance,median_distance,match,school_id,id
0,Morenci HS,high_school,300,35491.0,92834.0,27.66,-84.20698109999999,41.7223814,"41.7223814,-84.20698109999999",314.0,373.0,347.0,352.0,Morenci Area HS,7178.0,7178
1,Peck HS,high_school,300,29402.0,80897.0,26.66,-82.8102804,43.2558198,"43.2558198,-82.8102804",309.0,330.0,318.0,317.0,Peck Community HS,3400.0,3400
2,North Farmington HS,high_school,300,27803.0,99516.0,21.84,-83.3755168,42.5173338,"42.5173338,-83.3755168",324.0,388.0,363.0,371.0,Farmington HS,5784.0,5784
3,Walled Lake Western HS,high_school,300,24802.0,90792.0,21.46,-83.5120908,42.5313788,"42.5313788,-83.5120908",318.0,379.0,341.0,339.0,Walled Lake Western HS,3854.0,3854
4,Petersburg Summerfield HS,high_school,300,41045.0,82929.0,33.11,-83.70316149999999,41.9032963,"41.9032963,-83.70316149999999",301.0,351.0,334.0,345.0,Petersburg - Summerfield HS,2121.0,2121
5,Mount Pleasant HS,high_school,300,27189.0,90586.0,23.09,-84.7619912,43.5902784,"43.5902784,-84.7619912",304.0,374.0,338.0,337.0,Mt Pleasant HS,5834.0,5834
6,South Lyon HS,high_school,300,33148.0,89438.0,27.04,-83.6465132,42.4741789,"42.4741789,-83.6465132",321.0,351.0,338.0,340.0,South Lyon HS,6295.0,6295
7,Addison HS,high_school,300,30075.0,81178.0,27.03,-84.3395166,41.9898236,"41.9898236,-84.3395166",304.0,349.0,324.0,322.0,Addison HS,3037.0,3037
8,Sterling Heights Stevenson HS,high_school,300,20262.0,88720.0,18.59,-83.0144591,42.5871202,"42.5871202,-83.0144591",306.0,394.0,338.0,331.0,Sterling Heights - Utica Stevenson HS,2666.0,2666
9,Utica Eisenhower HS,high_school,300,20745.0,97067.0,17.61,-83.04839200000001,42.6931013,"42.6931013,-83.04839200000001",314.0,370.0,351.0,355.0,Shelby Township - Utica Eisenhower HS,3020.0,3020
