school,record,wins,losses,ties,match,id
Lansing Everett,0-9,0,9,,Lansing - Everett HS,1387
Grand Ledge,18-13-1,18,13,1,Grand Ledge HS,6213
,,,,,Macomb - Dakota HS,9448
Lansing Waverly,2-16-1,2,16,1,Lansing - Waverly HS,2501
Holt,17-17-1,17,17,1,Holt HS,7632
DeWitt,9-8,9,8,,DeWitt HS,1354
Howell,22-3,22,3,,Howell HS,5074
Mason,8-7,8,7,,Mason HS,2138
Okemos,21-9-1,21,9,1,Okemos HS,6007
East Lansing,7-12,7,12,,East Lansing HS,3920
Brighton,18-9,18,9,,Brighton HS,1016
Canton,23-11,23,11,,Canton - Salem HS,3747
Plymouth,30-9,30,9,,Canton - Plymouth HS,2839
Salem,6-13,6,13,,Canton - Salem HS,3747
Northville,26-6,26,6,,Northville HS,5628
Livonia Churchill,18-12,18,12,,Livonia - Churchill HS,4381
Livonia Franklin,26-6,26,6,,Livonia - Franklin HS,3508
Westland John Glenn,8-10,8,10,,Westland - John Glenn HS,4596
Dearborn Heights Crestwood,10-14,10,14,,Dearborn Heights - Crestwood HS,5842
Redford Thurston,6-6,6,6,,Redford - Thurston HS,7665
Wayne Memorial,8-15-1,8,15,1,Wayne Memorial HS,1404
Temperance Bedford,21-11,21,11,,Temperance - Bedford HS,6122
Belleville,3-19,3,19,,Belleville HS,7748
Ypsilanti Community,2-9,2,9,,Ypsilanti Community,1070
Monroe,15-6,15,6,,Monroe HS,3730
Ypsilanti Lincoln,6-10,6,10,,Ypsilanti - Lincoln HS,6477
Wyandotte Roosevelt,2-9,2,9,,Wyandotte - Roosevelt HS,5850
Gibraltar Carlson,9-27,9,27,,Gibraltar - OA Carlson HS,7640
Taylor,4-10,4,10,,Taylor HS,1170
Brownstown Woodhaven,11-5,11,5,,Brownstown Township - Woodhaven HS,4662
Southgate Anderson,2-7,2,7,,Southgate Anderson HS,7987
Sturgis,3-4,3,4,,Sturgis HS,6667
Battle Creek Central,0-4,0,4,,Battle Creek - Central HS,2682
Coldwater,2-2,2,2,,Coldwater HS,1288
Battle Creek Lakeview,27-7,27,7,,Battle Creek - Lakeview HS,2583
Jackson,1-12,1,12,,Jackson HS,2633
Saline,12-8,12,8,,Saline HS,6584
Ann Arbor Skyline,17-15,17,15,,Ann Arbor - Skyline HS,2032
Ann Arbor Huron,2-16,2,16,,Ann Arbor - Huron HS,1825
Ann Arbor Pioneer,12-23,12,23,,Ann Arbor - Pioneer HS,3680
Dexter,10-4,10,4,,Dexter HS,2071
Utica,2-4,2,4,,Shelby Township - Utica Eisenhower HS,3020
Utica Ford,3-2,3,2,,Sterling Heights - Utica Ford II HS,6510
Sterling Heights Stevenson,1-4,1,4,,Sterling Heights - Utica Stevenson HS,2666
Macomb Dakota,0-2,0,2,,Macomb - Dakota HS,9448
Clinton Township Chippewa Valley,6-4,6,4,,Clinton Township - Chippewa Valley HS,1874
Port Huron,0-6,0,6,,Port Huron Northern HS,3268
Harrison Township L'Anse Creuse,5-3,5,3,,Harrison Township - L'Anse Creuse HS,2022
New Baltimore Anchor Bay,7-2,7,2,,Fair Haven - Anchor Bay HS,3086
Port Huron Northern,2-4,2,4,,Port Huron Northern HS,3268
Macomb L'Anse Creuse North,2-4,2,4,,Macomb - L'Anse Creuse North HS,4555
Dearborn Edsel Ford,9-14,9,14,,Dearborn - Edsel Ford HS,4373
Dearborn,9-17-1,9,17,1,Dearborn - Fordson HS,6980
Melvindale,3-7,3,7,,Melvindale HS,7970
Lincoln Park,6-10,6,10,,Lincoln Park HS,2996
Allen Park,15-9,15,9,,Allen Park HS,5157
Hamtramck,2-3,2,3,,Hamtramck HS,5925
Dearborn Fordson,3-16,3,16,,Dearborn - Fordson HS,6980
Detroit Western,8-5,8,5,,Detroit - Western International HS,7013
River Rouge,2-3,2,3,,River Rouge HS,2055
Detroit Cass Tech,10-3,10,3,,Detroit - Cass Technical HS,4893
Warren Cousino,9-14,9,14,,Warren - Cousino HS,1172
Fraser,6-2,6,2,,Fraser HS,6948
Sterling Heights,1-5,1,5,,Sterling Heights - Utica Stevenson HS,2666
Warren De La Salle Collegiate,15-16,15,16,,Warren - De La Salle Collegiate,5306
Warren Woods Tower,8-7,8,7,,Warren Woods-Tower HS,1791
Grosse Pointe South,1-2,1,2,,Grosse Pointe Farms - Grosse Pointe South HS,2443
Grosse Pointe North,9-3,9,3,,Grosse Pointe North HS,7822
St Clair Shores Lakeview,13-14,13,14,,St Clair Shores - Lakeview HS,2146
St Clair Shores Lake Shore,6-15,6,15,,St Clair Shores - Lake Shore HS,7046
Roseville,6-1,6,1,,Roseville HS,1040
Detroit U-D Jesuit,4-14,4,14,,Detroit - U of D Jesuit HS,3648
Detroit Renaissance,3-9,3,9,,Detroit - Renaissance HS,5727
Ferndale,4-4,4,4,,Ferndale HS,1981
Southfield Arts & Technology,7-9,7,9,,Southfield HS for the Arts & Technology,1147
Royal Oak,11-2-1,11,2,1,Royal Oak HS,6898
Berkley,8-20,8,20,,Berkley HS,4935
Troy Athens,4-4,4,4,,Troy - Athens HS,1957
Birmingham Groves,9-3,9,3,,Birmingham - Roeper HS,1098
Warren Mott,3-6,3,6,,Warren Mott HS,3111
Holland,14-15,14,15,,Holland - West Ottawa HS,6485
St Joseph,4-4,4,4,,St Joseph HS,2708
Zeeland West,6-7,6,7,,Zeeland West HS,9920
Hudsonville,3-1,3,1,,Hudsonville HS,8077
Holland West Ottawa,2-3-1,2,3,1,Holland - West Ottawa HS,6485
Kalamazoo Loy Norrix,2-6,2,6,,Kalamazoo - Loy Norrix HS,6551
Kalamazoo Central,3-8,3,8,,Kalamazoo Central HS,3945
Portage Northern,16-9,16,9,,Portage Northern HS,4794
Mattawan,18-9,18,9,,Mattawan HS,4027
Portage Central,6-7,6,7,,Portage Central HS,1437
Mount Pleasant,15-10,15,10,,Mt Pleasant HS,5834
Alpena,6-9,6,9,,Alpena HS,8127
Traverse City West,3-4,3,4,,Traverse City West HS,9731
Traverse City Central,10-8,10,8,,Traverse City Central HS,4233
Bay City Central,4-10,4,10,,Bay City - Central HS,5256
Midland Dow,4-8,4,8,,Midland - HH Dow HS,2113
Bay City Western,4-6,4,6,,Auburn - Bay City Western HS,3524
Saginaw Heritage,8-24-1,8,24,1,Saginaw - Heritage HS,4547
Midland,30-9,30,9,,Midland HS,5990
Grandville,4-1,4,1,,Grandville HS,6576
Grand Rapids Union,11-20,11,20,,Grand Rapids - Union HS,7541
Jenison,2-2,2,2,,Jenison HS,3607
Wyoming,5-9,5,9,,Wyoming HS,1033
Byron Center,8-5,8,5,,Byron Center HS,2542
East Kentwood,4-4,4,4,,East Kentwood HS,5792
Grand Rapids Forest Hills Central,12-5,12,5,,Grand Rapids - Forest Hills Central HS,5355
Lowell,15-9,15,9,,Lowell HS,6378
Caledonia,10-9,10,9,,Caledonia HS,4324
Grand Rapids Ottawa Hills,0-15,0,15,,Grand Rapids - Ottawa Hills HS,7335
Grand Rapids Kenowa Hills,21-5,21,5,,Grand Rapids - Kenowa Hills HS,5280
Muskegon,0-14,0,14,,Muskegon - Mona Shores HS,7962
Grand Haven,6-2,6,2,,Grand Haven HS,4101
Muskegon Reeths-Puffer,23-9,23,9,,Muskegon - Reeths-Puffer HS,2823
Muskegon Mona Shores,15-3,15,3,,Muskegon - Mona Shores HS,7962
Rockford,7-2,7,2,,Rockford HS,4183
Grand Rapids Forest Hills Northern,24-12,24,12,,Grand Rapids - Forest Hills Northern HS,6964
Greenville,5-25,5,25,,Greenville HS,3367
Grand Rapids Northview,6-10,6,10,,Grand Rapids - Northview HS,4142
Cedar Springs,9-9,9,9,,Cedar Springs HS,7517
Grand Blanc,6-3,6,3,,Grand Blanc HS,2237
Holly,0-4,0,4,,Holly HS,4266
Fenton,4-2,4,2,,Fenton HS,5438
Swartz Creek,11-13,11,13,,Swartz Creek HS,4803
Hartland,10-10,10,10,,Hartland HS,6832
Flint Carman-Ainsworth,1-11,1,11,,Flint - Carman-Ainsworth HS,4290
Lapeer,6-5,6,5,,Lapeer HS,1086
Davison,2-7-2,2,7,2,Davison HS,3103
Flint Kearsley,1-5,1,5,,Flint - Kearsley HS,4712
Flushing,8-4,8,4,,Flushing HS,2336
Detroit Catholic Central,16-19,16,19,,Novi - Detroit Catholic Central HS,4638
Novi,5-11,5,11,,Novi HS,1833
South Lyon,15-19-1,15,19,1,South Lyon HS,6295
South Lyon East,6-20,6,20,,South Lyon East HS,9976
