School,conference,school_id
Alpena  HS,Big North Conference,8127
Cadillac  HS,Big North Conference,2914
Gaylord  HS,Big North Conference,3284
Petoskey  HS,Big North Conference,3136
Traverse City Central  HS,Big North Conference,4233
Traverse City West Senior  HS,Big North Conference,9731
DeWitt HS,Capital Area Activities Conference,1354
East Lansing  HS,Capital Area Activities Conference,3920
Grand Ledge  HS,Capital Area Activities Conference,6213
Holt  HS,Capital Area Activities Conference,7632
Lansing Everett  HS,Capital Area Activities Conference,1387
Lansing Waverly  HS,Capital Area Activities Conference,2501
Okemos  HS,Capital Area Activities Conference,6007
Fowlerville HS,Capital Area Activities Conference,7343
Haslett  HS,Capital Area Activities Conference,2278
Lansing Eastern  HS,Capital Area Activities Conference,2765
Mason  HS,Capital Area Activities Conference,2138
St. Johns  HS,Capital Area Activities Conference,3623
Williamston  HS,Capital Area Activities Conference,7277
Charlotte  HS,Capital Area Activities Conference,3516
Eaton Rapids  HS,Capital Area Activities Conference,3978
Ionia  HS,Capital Area Activities Conference,4068
Lansing Catholic  HS,Capital Area Activities Conference,2435
Lansing Sexton  HS,Capital Area Activities Conference,7830
Portland  HS,Capital Area Activities Conference,7104
Allen Park Cabrini HS,Catholic High School League,5157
Ann Arbor Father Gabriel Richard HS,Catholic High School League,8184
Ann Arbor Greenhills HS,Catholic High School League,6543
Bloomfield Hills Brother Rice HS,Catholic High School League,1069
Bloomfield Hills Academy of the Sacred Heart HS,Catholic High School League,1069
Bloomfield Hills Cranbrook-Kingswood HS,Catholic High School League,1069
Bloomfield Hills Marian HS,Catholic High School League,1069
Clarkston Everest Collegiate HS,Catholic High School League,2856
Dearborn Divine Child HS,Catholic High School League,7376
Detroit Catholic Central HS,Catholic High School League,4638
Detroit Cristo Rey HS,Catholic High School League,9960
Detroit Loyola HS,Catholic High School League,9134
University of Detroit Jesuit HS,Catholic High School League,3648
Farmington Hills Mercy HS,Catholic High School League,5784
Grosse Pointe Woods University Liggett HS,Catholic High School League,1222
Macomb Austin Catholic HS,Catholic High School League,1076
Macomb Lutheran North HS,Catholic High School League,5958
Madison Heights Bishop Foley Catholic HS,Catholic High School League,1206
Marine City Cardinal Mooney Catholic HS,Catholic High School League,1585
Orchard Lake St. Mary's Preparatory HS,Catholic High School League,2385
Riverview Gabriel Richard HS,Catholic High School League,4316
Royal Oak Shrine Catholic HS,Catholic High School League,6898
Toledo Central Catholic HS,Catholic High School League,4638
Toledo Notre Dame Academy HS,Catholic High School League,1153
Toledo St. Francis de Sales HS,Catholic High School League,1107
Toledo St. John’s Jesuit HS,Catholic High School League,3623
Toledo St. Ursula Academy HS,Catholic High School League,1755
Warren De La Salle HS,Catholic High School League,5306
Warren Regina HS,Catholic High School League,4522
Waterford Our Lady of the Lakes HS,Catholic High School League,4745
West Bloomfield Frankel Jewish Academy HS,Catholic High School League,5140
Wixom St. Catherine of Siena Academy HS,Catholic High School League,1023
Detroit Ben Carson HS,Detroit Public School League,1058
Detroit Cass Tech HS,Detroit Public School League,4893
Detroit Central Collegiate HS,Detroit Public School League,4811
Detroit Cody HS,Detroit Public School League,8085
Detroit Collegiate Prep HS,Detroit Public School League,9057
Detroit Communication & Media Arts HS,Detroit Public School League,9145
Detroit Davis Aerospace Tech HS,Detroit Public School League,9639
Detroit Delta Prep HS,Detroit Public School League,1060
Detroit Denby HS,Detroit Public School League,3862
Detroit Douglass HS,Detroit Public School League,9281
Detroit East English HS,Detroit Public School League,1032
Detroit Edison Public School Academy HS,Detroit Public School League,1092
Detroit Henry Ford HS,Detroit Public School League,4992
Detroit International Academy HS,Detroit Public School League,3841
Detroit Martin Luther King HS,Detroit Public School League,6147
Detroit Mumford HS,Detroit Public School League,1494
Detroit Osborn HS,Detroit Public School League,6254
Detroit Pershing HS,Detroit Public School League,5685
Detroit Renaissance HS,Detroit Public School League,5727
Detroit School of Arts HS,Detroit Public School League,1109
Detroit Southeastern HS,Detroit Public School League,1296
Detroit West Side Academy HS,Detroit Public School League,1153
Detroit Western International HS,Detroit Public School League,7013
Allen Park  HS,Downriver League,5157
Dearborn Edsel Ford  HS,Downriver League,7376
Gibraltar Carlson  HS,Downriver League,7640
Lincoln Park  HS,Downriver League,2996
Southgate Anderson  HS,Downriver League,7987
Taylor  HS,Downriver League,1170
Trenton  HS,Downriver League,1627
Woodhaven  HS,Downriver League,4662
Wyandotte Roosevelt  HS,Downriver League,5850
Fenton HS,Flint Metro League,5438
Flint Kearsley HS,Flint Metro League,4712
Flushing HS,Flint Metro League,2336
Holly HS,Flint Metro League,4266
Linden HS,Flint Metro League,3870
Swartz Creek HS,Flint Metro League,4803
Ortonville Brandon HS,Flint Metro League,4217
Clio HS,Flint Metro League,3706
Owosso HS,Flint Metro League,6171
Goodrich HS,Flint Metro League,8192
Corunna HS,Flint Metro League,1123
Lake Fenton HS,Flint Metro League,5438
Brighton  HS,Kensington Lakes Activities Association,1016
Canton  HS,Kensington Lakes Activities Association,3747
Hartland  HS,Kensington Lakes Activities Association,6832
Howell  HS,Kensington Lakes Activities Association,5074
Northville  HS,Kensington Lakes Activities Association,5628
Novi  HS,Kensington Lakes Activities Association,1833
Plymouth  HS,Kensington Lakes Activities Association,2839
Salem  HS,Kensington Lakes Activities Association,3747
Belleville  HS,Kensington Lakes Activities Association,7748
Dearborn  HS,Kensington Lakes Activities Association,6980
Dearborn Fordson  HS,Kensington Lakes Activities Association,6980
Livonia Churchill  HS,Kensington Lakes Activities Association,4381
Livonia Franklin  HS,Kensington Lakes Activities Association,3508
Livonia Stevenson s HS,Kensington Lakes Activities Association,6188
Wayne Memorial  HS,Kensington Lakes Activities Association,1404
Westland Glenn  HS,Kensington Lakes Activities Association,4596
Clarkston HS,Oakland Activities Association,2856
Lake Orion HS,Oakland Activities Association,3953
Pontiac Northern HS,Oakland Activities Association,1373
Waterford Kettering HS,Oakland Activities Association,6527
Waterford Mott HS,Oakland Activities Association,5025
Birmingham Groves HS,Oakland Activities Association,1098
Bloomfield Hills Lahser HS,Oakland Activities Association,1069
Rochester HS,Oakland Activities Association,6824
Rochester Adams HS,Oakland Activities Association,6733
Royal Oak Dondero HS,Oakland Activities Association,6898
Southfield-Lathrup HS,Oakland Activities Association,1147
Troy Athens HS,Oakland Activities Association,1742
West Bloomfield HS,Oakland Activities Association,5140
Berkley HS,Southeastern Michigan Association,4935
Birmingham Seaholm HS,Southeastern Michigan Association,6626
Bloomfield Hills Andover HS,Southeastern Michigan Association,1069
Ferndale HS,Southeastern Michigan Association,1981
Hazel Park HS,Southeastern Michigan Association,2468
Royal Oak Kimball HS,Southeastern Michigan Association,6898
Southfield HS,Southeastern Michigan Association,1147
Troy HS,Southeastern Michigan Association,1742
Allendale HS,Ottawa-Kent Conference,5248
Belding HS,Ottawa-Kent Conference,4902
Byron Center HS,Ottawa-Kent Conference,2542
Caledonia HS,Ottawa-Kent Conference,4324
Cedar Springs HS,Ottawa-Kent Conference,7517
Comstock Park HS,Ottawa-Kent Conference,2006
Coopersville HS,Ottawa-Kent Conference,2781
East Grand Rapids HS,Ottawa-Kent Conference,7946
East Kentwood HS,Ottawa-Kent Conference,5792
Forest Hills Central HS,Ottawa-Kent Conference,5355
Forest Hills Eastern HS,Ottawa-Kent Conference,4506
Forest Hills Northern HS,Ottawa-Kent Conference,6964
Fruitport HS,Ottawa-Kent Conference,6683
