field,level,foul_ft,fop_ft,foul_pct,h_lat,h_long
Okemos HS,high_school,28633.0,88727.0,24.4,-84.45583670000001,42.6867582
Lansing Catholic HS,high_school,18993.0,88398.0,17.69,-84.5277248,42.7383015
Kircher Municipal Field - muni,muni,26238.0,91704.0,22.25,-84.50684440000001,42.7308477
MSU - Old College Field ,college,32442.0,105617.0,23.5,-84.4885965,42.7318544
East Lansing HS,high_school,27525.0,90686.0,23.28,-84.4566176,42.7411198
Bath HS,high_school,17556.0,102733.0,14.59,-84.43991080000001,42.8148489
Lansing Lugnuts ,high_school,22817.0,104906.0,17.86,-84.54564120000001,42.734657
Haslett HS,high_school,31262.0,86208.0,26.61,-84.405957,42.7419779
Mason HS,high_school,25325.0,97372.0,20.64,-84.4333884,42.5705632
Lansing - Waverly HS,high_school,31145.0,88957.0,25.93,-84.6247929,42.7313098
Northwood University ,high_school,32911.0,107994.0,23.36,-84.28019140000001,43.6331659
Hillsdale College ,college,26300.0,98546.0,21.07,-84.6271213,41.932584
Albion College ,college,28228.0,108727.0,20.61,-84.7373745,42.241567
Hancock Driving Park - Houghton Muni - muni,muni,33411.0,90091.0,27.05,-88.6080128,47.135668
The Corner Ballpark - Detroit - muni,muni,29226.0,108633.0,21.2,-83.0689605,42.3320323
Calvin University ,high_school,39207.0,107778.0,26.67,-85.5926546,42.9346782
Olivet College ,college,34948.0,96511.0,26.58,-84.9249635,42.4341848
Mackinaw City HS,high_school,18976.0,70110.0,21.3,-84.7433419,45.7797649
Adrian College,college,14280.0,106000.0,11.87,-84.0697145,41.901861
Adrian Lenawee Christian HS,high_school,23325.0,89207.0,20.73,-84.08374689999999,41.9087669
Airport High School - Carleton,high_school,21262.0,88074.0,19.45,-83.37652180000001,42.0373919
Aldai Stevenson High School,high_school,20786.0,88749.0,18.98,-83.01445630000001,42.5871203
Algonac High School,high_school,30427.0,83362.0,26.74,-82.58239759999999,42.6286202
Allen Park High School,high_school,21933.0,94655.0,18.81,-83.2273711,42.2455509
Antrim County -Touth - Lakeside Field,high_school,106926.0,21536.0,83.24,-85.2806507,44.8649571
Bad Axe HS,high_school,38845.0,86274.0,31.05,-83.0174535,43.8055552
Bangor High School,high_school,39832.0,103637.0,27.76,-86.12594559999999,42.3056833
Battle Creek lakeview HS,high_school,39069.0,95422.0,29.05,-85.2302768,42.2937644
Bay City All Saints HS,high_school,25766.0,87055.0,22.84,-83.8962351,43.5560867
Bay City All Saints Youth Field,youth,12857.0,31471.0,29.0,-83.8975504,43.55632
Bay City john Glen HS,high_school,25783.0,102941.0,20.03,-83.9280232,43.6193164
Beal City HS,high_school,25698.0,89488.0,22.31,-84.9127615,43.6741539
Blissfield HS,high_school,20396.0,92349.0,18.09,-83.8684514,41.8222438
Borden Field  Coldwater Muni,muni,46390.0,88202.0,34.47,-85.02038109999999,41.9516033
Boyne City - Youth Field,youth,18057.0,83522.0,17.78,-85.00279860000001,45.2184825
Boyne City County Park Muni,muni,21397.0,92587.0,18.77,-84.9975093,45.2058653
Breckenridge HS,high_school,22445.0,82497.0,21.39,-84.4724901,43.413141
Bridgman HS,high_school,29299.0,94095.0,23.74,-86.5447454,41.9367931
Bronson high School,high_school,25822.0,90957.0,22.11,-85.1894145,41.865696
Brownstone Woodhaven HS,high_school,35410.0,85450.0,29.3,-83.26982889999999,42.121292
Buchanan HS,high_school,22660.0,88476.0,20.39,-86.37097850000001,41.8239409
Bullock Creek HS - Midland,high_school,29073.0,99260.0,22.65,-84.29441850000001,43.5717901
Camden-Frontier High School,high_school,30123.0,76954.0,28.13,-84.7066398,41.7801468
Canton High School,high_school,96250.0,34332.0,73.71,-83.49151519999999,42.3441818
Centreville High School,high_school,30617.0,92985.0,24.77,-85.5231062,41.9149684
Charlotte High School,high_school,35679.0,83501.0,29.94,-84.85511649999999,42.5604691
Cheboygan HS,high_school,28930.0,94239.0,23.49,-84.49712839999999,45.6300425
Chesaning Union HS,high_school,42709.0,93437.0,31.37,-84.1253816,43.1946837
Chesaning Union HS - Field 2,high_school,34692.0,83266.0,29.41,-84.1254496,43.1935652
Clare High School,high_school,19721.0,93774.0,17.38,-84.7809457,43.8248348
Clarenceville HS - Livonia,high_school,19166.0,82438.0,18.86,-83.33937090000001,42.4363394
Clinton High School,high_school,23742.0,91577.0,20.59,-83.9647212,42.0745982
CMU ,high_school,22847.0,108213.0,17.43,-84.77949580000001,43.5764696
Coldwater Heritage Park - muni,muni,44481.0,89492.0,33.2,-85.02037970000001,41.9515984
Commerica Park - Tigers ,high_school,28155.0,113641.0,19.86,-83.0489808,42.3394579
Concord High School,high_school,18588.0,82374.0,18.41,-84.6411052,42.1722524
Coors Field - Colorado ,high_school,24746.0,116886.0,17.47,-104.9942091,39.7557176
Cornerstone Baseball Field ,high_school,21212.0,103016.0,17.08,-85.5975511,42.9811225
Cranbrook High School,high_school,33362.0,84811.0,28.23,-83.25467329999999,42.5730964
Dansville HS,high_school,38155.0,101273.0,27.37,-84.30747119999999,42.5514233
Davenport University ,high_school,30259.0,111118.0,21.4,-85.5160374,42.8425628
