,field,level,size_factor,foul_ft,fop_ft,foul_pct,h_lon,h_lat,home_plate,min_distance,max_distance,avg_distance,median_distance,match,school_id,id
0,New Boston Huron HS,high_school,300,27487.0,82547.0,24.98,-83.35016469999999,42.1258412,"42.1258412,-83.35016469999999",293.0,340.0,320.0,323.0,New Boston - Huron HS,1916.0,1916
1,Dearborn HS,high_school,300,29897.0,94051.0,24.12,-83.2648191,42.3061898,"42.3061898,-83.2648191",319.0,377.0,346.0,350.0,Dearborn - Fordson HS,6980.0,6980
2,Marine City HS,high_school,300,23107.0,89067.0,20.6,-82.5080461,42.7145549,"42.7145549,-82.5080461",295.0,387.0,340.0,337.0,Marine City HS,1585.0,1585
3,North Branch HS,high_school,300,25826.0,88635.0,22.56,-83.1821417,43.2244309,"43.2244309,-83.1821417",310.0,373.0,340.0,341.0,North Branch HS,6155.0,6155
4,Carrollton HS,high_school,300,24611.0,80182.0,23.49,-83.9370392,43.4621614,"43.4621614,-83.9370392",302.0,345.0,321.0,320.0,Carrollton HS,6502.0,6502
5,Saginaw Arthur Hill HS,high_school,300,38562.0,93491.0,29.2,-83.9915189,43.4272935,"43.4272935,-83.9915189",325.0,351.0,343.0,346.0,Saginaw - Arthur Hill HS,4753.0,4753
6,Saginaw HS,high_school,300,37445.0,101117.0,27.02,-97.35051350000001,32.8685144,"32.8685144,-97.35051350000001",311.0,382.0,353.0,356.0,Saginaw - Heritage HS,4547.0,4547
7,Clio HS,high_school,300,27757.0,93994.0,22.8,-83.7249024,43.1857357,"43.1857357,-83.7249024",309.0,383.0,347.0,348.0,Clio HS,3706.0,3706
8,Detroit Mumford HS,high_school,300,33263.0,85116.0,28.1,-83.1618299,42.421477,"42.421477,-83.1618299",297.0,359.0,329.0,327.0,Detroit - Mumford HS,1494.0,1494
9,Warren Fitzgerald HS,high_school,300,14426.0,80960.0,15.12,-83.0694799,42.4716405,"42.4716405,-83.0694799",299.0,351.0,322.0,323.0,Warren - Fitzgerald HS,1370.0,1370
10,Escanaba HS,high_school,300,36637.0,87049.0,29.62,-87.07227520000001,45.7243556,"45.7243556,-87.07227520000001",320.0,342.0,334.0,337.0,Escanaba HS,2550.0,2550
11,Marquette HS - Haley Field,high_school,300,25466.0,97695.0,20.68,-87.39777789999999,46.565806,"46.565806,-87.39777789999999",310.0,401.0,354.0,350.0,Marquette HS,2690.0,2690
12,Marquette HS - Field 2,high_school,300,13626.0,82423.0,14.19,-87.398061,46.5647136,"46.5647136,-87.398061",297.0,361.0,333.0,334.0,Marquette HS,2690.0,2690
13,Sault Ste Marie HS,high_school,300,25808.0,73690.0,25.94,-84.3635807,46.48302300000001,"46.48302300000001,-84.3635807",306.0,309.0,308.0,308.0,Sault Ste Marie - Sault Area HS,8028.0,8028
14,Paw Paw HS,high_school,300,41427.0,98532.0,29.6,-85.8531887,42.2207716,"42.2207716,-85.8531887",324.0,369.0,353.0,356.0,Paw Paw HS,1255.0,1255
15,Parma Western HS,high_school,300,21253.0,84702.0,20.06,-84.53929119999999,42.251144,"42.251144,-84.53929119999999",301.0,354.0,331.0,335.0,Parma - Western HS,5198.0,5198
16,Adrian HS,high_school,300,36646.0,86542.0,29.75,-84.0416584,41.9091676,"41.9091676,-84.0416584",302.0,380.0,339.0,344.0,Adrian HS,2294.0,2294
17,Tecumseh HS,high_school,300,26528.0,90986.0,22.57,-83.95792520000001,42.0086567,"42.0086567,-83.95792520000001",318.0,364.0,341.0,346.0,Tecumseh HS,3350.0,3350
18,Dundee HS,high_school,300,27696.0,84475.0,24.69,-83.65621640000001,41.9626608,"41.9626608,-83.65621640000001",299.0,356.0,328.0,327.0,Dundee HS,4563.0,4563
19,Kingsley HS,high_school,300,30691.0,81571.0,27.34,-85.5400125,44.5763916,"44.5763916,-85.5400125",291.0,357.0,320.0,316.0,Kingsley Area HS,1305.0,1305
20,Big Rapids HS - Field 1,high_school,300,27047.0,100435.0,21.22,-85.50501680000001,43.6793261,"43.6793261,-85.50501680000001",325.0,387.0,357.0,361.0,Big Rapids HS,1602.0,1602
21,Big Rapids HS - Field 2,high_school,300,25021.0,99948.0,20.02,-85.5051175,43.6780126,"43.6780126,-85.5051175",324.0,389.0,356.0,354.0,Big Rapids HS,1602.0,1602
22,Kingsford HS,high_school,300,32386.0,88478.0,26.8,-88.0917049,45.7989052,"45.7989052,-88.0917049",314.0,360.0,337.0,338.0,Kingsford HS,3425.0,3425
23,Freeland HS,high_school,300,37861.0,101711.0,27.13,-84.10962550000001,43.5302901,"43.5302901,-84.10962550000001",309.0,381.0,359.0,372.0,Freeland HS,7590.0,7590
24,Muskegon Orchard View HS,high_school,300,26693.0,88938.0,23.08,-86.1851463,43.2490298,"43.2490298,-86.1851463",299.0,357.0,336.0,340.0,Muskegon HS,7434.0,7434
25,Sparta HS,high_school,300,29258.0,96027.0,23.35,-85.72191599999999,43.1507705,"43.1507705,-85.72191599999999",321.0,379.0,352.0,355.0,Sparta HS,5974.0,5974
26,Powers Catholic HS (Flint),high_school,300,28269.0,97077.0,22.55,-83.70555539999999,43.0025639,"43.0025639,-83.70555539999999",315.0,370.0,348.0,351.0,Flint - Powers Catholic HS,2484.0,2484
27,Birch Run HS,high_school,300,35878.0,102785.0,25.87,-83.8009596,43.2444171,"43.2444171,-83.8009596",320.0,391.0,363.0,371.0,Birch Run HS,4968.0,4968
28,Corunna HS,high_school,300,28551.0,82002.0,25.83,-84.11188370000001,42.9830463,"42.9830463,-84.11188370000001",275.0,358.0,327.0,333.0,Corunna HS,1123.0,1123
29,Ortonville Brandon HS,high_school,300,27624.0,91159.0,23.26,-83.4424554,42.8412678,"42.8412678,-83.4424554",326.0,351.0,341.0,343.0,Ortonville - Brandon HS,4217.0,4217
30,Detroit Martin Luther King HS,high_school,300,38817.0,83446.0,31.75,-83.0134276,42.3437538,"42.3437538,-83.0134276",299.0,351.0,330.0,336.0,Detroit - Martin Luther King HS,6147.0,6147
31,Flat Rock HS,high_school,300,22417.0,97427.0,18.71,-83.2805434,42.0969535,"42.0969535,-83.2805434",318.0,385.0,351.0,348.0,Flat Rock HS,4943.0,4943
32,Garden City HS,high_school,300,16522.0,100416.0,14.13,-83.32709250000001,42.3334413,"42.3334413,-83.32709250000001",339.0,376.0,357.0,355.0,Garden City HS,7657.0,7657
33,Pinckney HS - Field 1,high_school,300,21638.0,88377.0,19.67,-83.9286263,42.4483149,"42.4483149,-83.9286263",319.0,350.0,333.0,334.0,Pinckney HS,4357.0,4357
34,Pinckney HS - Field 2,high_school,300,23459.0,89460.0,20.78,-83.92866770000001,42.4494733,"42.4494733,-83.92866770000001",318.0,353.0,337.0,341.0,Pinckney HS,4357.0,4357
35,East Grand Rapids HS,high_school,300,21278.0,97929.0,17.85,-85.61223390000001,42.9580629,"42.9580629,-85.61223390000001",314.0,372.0,351.0,356.0,East Grand Rapids HS,7946.0,7946
36,Dowagiac HS,high_school,300,25118.0,81569.0,23.54,-86.12233019999999,41.997383,"41.997383,-86.12233019999999",300.0,362.0,326.0,320.0,Dowagiac Union HS,4365.0,4365
37,Adrian Lenawee Christian HS,high_school,300,23325.0,89207.0,20.73,-84.08374689999999,41.9087669,"41.9087669,-84.08374689999999",314.0,350.0,337.0,343.0,Adrian HS,2294.0,2294
38,Adrian Lenawee Christian HS- replot,high_school,300,23515.0,87492.0,21.18,-84.08374923296931,41.90876073773172,"41.90876073773172,-84.08374923296931",313.0,344.0,332.0,333.0,Adrian HS,2294.0,2294
