,field,level,size_factor,foul_ft,fop_ft,foul_pct,h_lon,h_lat,match,school_id,shape
218,Adrian College,college,2000,14280,106000,11.87,-84.0697145,41.901861,,,adrian
219,Albion College ,college,2000,28228,108727,20.61,-84.7373745,42.241567,,,albion
225,Calvin University ,college,2000,39207,107778,26.67,-85.5926546,42.9346782,,,calvin
226,CMU ,college,2000,22847,108213,17.43,-84.7794958,43.5764696,,,cmu
231,Cornerstone Baseball Field ,college,2000,21212,103016,17.08,-85.5975511,42.9811225,,,college
232,Davenport University ,college,2000,30259,111118,21.4,-85.5160374,42.8425628,,,davenport
236,EMU ,college,2000,17041,109553,13.46,-83.6487234,42.2573876,,,emu
238,Gainey Athletic Complex - Field 1 ,college,2000,36044,104042,25.73,-85.571371,42.930952,,,college
239,Gainey Athletic Complex - Field 2 ,college,2000,36768,104571,26.01,-85.570642,42.9301094,,,college
246,GVSU ,college,2000,35024,102527,25.46,-85.8933881,42.9654715,,,gvsu
252,Hillsdale College ,college,2000,26300,98546,21.07,-84.6271213,41.932584,,,hillsdale
256,Hope College,college,2000,30723,99674,23.56,-86.0883665,42.7870783,,,hope
258,Kalamazoo College ,college,2000,30733,109772,21.87,-85.6092979,42.2877622,,,kzoo
260,Klenk Park - Alma College - muni,college,2000,35379,109901,24.35,-84.6785813,43.3879303,,,alma
269,MSU - Old College Field ,college,2000,32442,105617,23.5,-84.4885965,42.7318544,,,msu
270,Northwood University ,college,2000,32911,107994,23.36,-84.2801914,43.6331659,,,college
274,Oakland University ,college,2000,40414,98650,29.06,-83.2113566,42.6733173,,,oakland
275,Olivet College ,college,2000,34948,96511,26.58,-84.9249635,42.4341848,,,olivet
281,Sagniaw Valley State ,college,2000,39799,106271,27.25,-83.9533999,43.5122297,,,svsu
288,U of M ,college,2000,19421,100851,16.15,-83.7420742,42.2678568,,,uofm
291,Wayne State Univ ,college,2000,25322,98360,20.47,-83.0772235,42.3564168,,,wayne
295,WMU ,college,2000,29814,104840,22.14,-85.6030368,42.2844309,,,wmu
0,Adrian Lenawee Christian HS,high_school,1000,23325,89207,20.73,-84.0837469,41.9087669,Adrian HS,2294,
1,Adrian Lenawee Christian HS- replot,high_school,1000,23515,87492,21.18,-84.08374923,41.90876074,Adrian HS,2294,
2,Aldai Stevenson HS,high_school,1000,20786,88749,18.98,-83.0144563,42.5871203,Sterling Heights - Utica Stevenson HS,2666,
3,Algonac HS,high_school,1000,30427,83362,26.74,-82.5823976,42.6286202,Algonac HS,1668,
4,Allen Park HS,high_school,1000,21933,94655,18.81,-83.2273711,42.2455509,Allen Park HS,5157,
5,Ann Arbor Greenhills HS,high_school,1000,39894,80453,33.15,-84.01479353,41.86694553,Ann Arbor - Greenhills HS,6543,
6,Ann Arbor Skyline HS,high_school,1000,32550,94671,25.59,-83.77545696,42.30415974,Ann Arbor - Skyline HS,2032,
7,Bad Axe HS,high_school,1000,38845,86274,31.05,-83.0174535,43.8055552,Bad Axe HS,1362,
8,Bangor HS,high_school,1000,39832,103637,27.76,-86.1259456,42.3056833,Bangor HS,5090,
9,Bath HS,high_school,1000,17556,102733,14.59,-84.4399108,42.8148489,Bath HS,5743,
10,Battle Creek lakeview HS,high_school,1000,39069,95422,29.05,-85.2302768,42.2937644,Battle Creek - Lakeview HS,2583,
11,Battle Creek Pennfield HS,high_school,1000,32049,82068,28.08,-85.13429939,42.37131729,Battle Creek - Pennfield HS,2716,
12,Bay City All Saints HS,high_school,1000,25766,87055,22.84,-83.8962351,43.5560867,Bay City - All Saints Central HS,3301,
13,Bay City john Glen HS,high_school,1000,25783,102941,20.03,-83.9280232,43.6193164,Bay City - John Glenn HS,1247,
14,Beal City HS,high_school,1000,25698,89488,22.31,-84.9127615,43.6741539,Mt Pleasant - Beal City HS,5124,
15,Bellaire HS,high_school,1000,22443,85075,20.87,-85.19125608,44.97663506,Bellaire HS,2724,
16,Benton Harbor HS,high_school,1000,32774,103161,24.11,-86.46242874,42.10208033,Benton Harbor HS,7021,
17,Berrien Springs HS,high_school,1000,27513,89387,23.54,-86.34676304,41.94527625,Berrien Springs HS,1346,
18,Berrien Springs HS- Field 2,high_school,1000,16104,60210,21.1,-86.34916619,41.94603599,Berrien Springs HS,1346,
19,Blissfield HS,high_school,1000,20396,92349,18.09,-83.8684514,41.8222438,Blissfield HS,7252,
20,Breckenridge HS,high_school,1000,22445,82497,21.39,-84.4724901,43.413141,Breckenridge HS,7995,
21,Bridgman HS,high_school,1000,29299,94095,23.74,-86.5447454,41.9367931,Bridgman HS,3243,
22,Bronson high School,high_school,1000,25822,90957,22.11,-85.1894145,41.865696,Bronson HS,7368,
23,Brooklyn Columbia Central HS,high_school,1000,28721,79617,26.51,-84.28050182,42.08744944,Brooklyn - Columbia Central HS,1453,
24,Brownstone Woodhaven HS,high_school,1000,35410,85450,29.3,-83.2698289,42.121292,Brownstown Township - Woodhaven HS,4662,
25,Buchanan HS,high_school,1000,22660,88476,20.39,-86.3709785,41.8239409,Buchanan HS,6650,
26,Bullock Creek HS - Midland,high_school,1000,29073,99260,22.65,-84.2944185,43.5717901,Midland HS,5990,
27,Cadillac HS,high_school,1000,30056,99601,23.18,-85.4124366,44.25171037,Cadillac HS,2914,
28,Calumet HS,high_school,1000,31476,84566,27.12,-88.41500982,47.2748662,Calumet HS,7293,
29,Camden-Frontier HS,high_school,1000,30123,76954,28.13,-84.7066398,41.7801468,Camden-Frontier HS,5768,
30,Canton HS,high_school,1000,34876,95041,26.84,-83.49149559,42.34417277,Canton - Salem HS,3747,
31,Carleton Airport HS,high_school,1000,21262,88074,19.45,-83.3765218,42.0373919,Carleton - Airport HS,4654,
32,Central Lake HS,high_school,1000,17407,75523,18.73,-85.26909015,45.06712927,Walled Lake Central HS,5082,
33,Centreville HS,high_school,1000,30617,92985,24.77,-85.5231062,41.9149684,Centreville HS,1676,
34,Charlotte HS,high_school,1000,35679,83501,29.94,-84.8551165,42.5604691,Charlotte HS,3516,
35,Charlotte HS,high_school,1000,36168,81966,30.62,-84.85512254,42.56047812,Charlotte HS,3516,
36,Cheboygan HS,high_school,1000,28930,94239,23.49,-84.4971284,45.6300425,Cheboygan Area HS,4150,
37,Chesaning Union HS,high_school,1000,42709,93437,31.37,-84.1253816,43.1946837,Chesaning HS,1767,
38,Chesaning Union HS - Field 2,high_school,1000,34692,83266,29.41,-84.1254496,43.1935652,Chesaning HS,1767,
