field,level,foul_ft,fop_ft,foul_pct,h_lon,h_lat,match,school_id
Adrian Lenawee Christian HS,high_school,23325.0,89207.0,20.73,-84.08374689999999,41.9087669,Adrian HS,2294.0
Adrian Lenawee Christian HS- replot,high_school,23515.0,87492.0,21.18,-84.08374923296931,41.90876073773172,Adrian HS,2294.0
Aldai Stevenson HS,high_school,20786.0,88749.0,18.98,-83.01445630000001,42.5871203,Sterling Heights - Utica Stevenson HS,2666.0
Algonac HS,high_school,30427.0,83362.0,26.74,-82.58239759999999,42.6286202,Algonac HS,1668.0
Allen Park HS,high_school,21933.0,94655.0,18.81,-83.2273711,42.2455509,Allen Park HS,5157.0
Ann Arbor Greenhills HS,high_school,39894.0,80453.0,33.15,-84.01479353123523,41.86694552754826,Ann Arbor - Greenhills HS,6543.0
Ann Arbor Skyline HS,high_school,32550.0,94671.0,25.59,-83.77545696328717,42.30415973972723,Ann Arbor - Skyline HS,2032.0
Bad Axe HS,high_school,38845.0,86274.0,31.05,-83.0174535,43.8055552,Bad Axe HS,1362.0
Bangor HS,high_school,39832.0,103637.0,27.76,-86.12594559999999,42.3056833,Bangor HS,5090.0
Bath HS,high_school,17556.0,102733.0,14.59,-84.43991080000001,42.8148489,Bath HS,5743.0
Battle Creek lakeview HS,high_school,39069.0,95422.0,29.05,-85.2302768,42.2937644,Battle Creek - Lakeview HS,2583.0
Battle Creek Pennfield HS,high_school,32049.0,82068.0,28.08,-85.13429938890545,42.37131728564925,Battle Creek - Pennfield HS,2716.0
Bay City All Saints HS,high_school,25766.0,87055.0,22.84,-83.8962351,43.5560867,Bay City - All Saints Central HS,3301.0
Bay City john Glen HS,high_school,25783.0,102941.0,20.03,-83.9280232,43.6193164,Bay City - John Glenn HS,1247.0
Beal City HS,high_school,25698.0,89488.0,22.31,-84.9127615,43.6741539,Mt Pleasant - Beal City HS,5124.0
Bellaire HS,high_school,22443.0,85075.0,20.87,-85.19125608380878,44.97663506300876,Bellaire HS,2724.0
Benton Harbor HS,high_school,32774.0,103161.0,24.11,-86.46242873648274,42.10208032631181,Benton Harbor HS,7021.0
Berrien Springs HS,high_school,27513.0,89387.0,23.54,-86.34676304174523,41.94527624505015,Berrien Springs HS,1346.0
Berrien Springs HS- Field 2,high_school,16104.0,60210.0,21.1,-86.34916618958593,41.94603598683737,Berrien Springs HS,1346.0
Blissfield HS,high_school,20396.0,92349.0,18.09,-83.8684514,41.8222438,Blissfield HS,7252.0
Breckenridge HS,high_school,22445.0,82497.0,21.39,-84.4724901,43.413141,Breckenridge HS,7995.0
Bridgman HS,high_school,29299.0,94095.0,23.74,-86.5447454,41.9367931,Bridgman HS,3243.0
Bronson high School,high_school,25822.0,90957.0,22.11,-85.1894145,41.865696,Bronson HS,7368.0
