name,foul,fop,field,home_plate,fop_list,distance,min_distance,max_distance,avg_distance
,"-84.0697145,41.901861,0 -84.0703958,41.9026485,0 -84.07040120000001,41.9026405,0 -84.0701651,41.902367,0 -84.07000549999999,41.9020037,0 -84.0698017,41.9017731,0 -84.069677,41.9017472,0 -84.06939,41.9018859,0 -84.0690172,41.9021944,0 -84.0687221,41.9023371,0 -84.0687248,41.9023461,0 -84.0697145,41.901861,0 ","-84.0697145,41.901861 -84.0687248,41.9023461 -84.0688009,41.9025374 -84.0688384,41.9025973 -84.0688706,41.9026322 -84.0689175,41.9026841 -84.0689766,41.902728 -84.0690208,41.902759 -84.069061,41.9027889 -84.06910929999999,41.9028169 -84.0691683,41.9028448 -84.06923399999999,41.9028718 -84.06929839999999,41.9028907 -84.0693708,41.9029067 -84.06946069999999,41.9029217 -84.0695492,41.9029277 -84.06962830000001,41.9029247 -84.0697222,41.9029237 -84.0698,41.9029097 -84.06992339999999,41.9028837 -84.07000119999999,41.9028588 -84.07009239999999,41.9028189 -84.07015,41.9027829 -84.0702117,41.902743 -84.0702479,41.902712 -84.070319,41.9026472 -84.0703566,41.9026023 -84.0697145,41.901861 ",Adrian College,"41.901861,-84.0697145","[(41.901861, -84.0697145), (41.9023461, -84.0687248), (41.9025374, -84.0688009), (41.9025973, -84.0688384), (41.9026322, -84.0688706), (41.9026841, -84.0689175), (41.902728, -84.0689766), (41.902759, -84.0690208), (41.9027889, -84.069061), (41.9028169, -84.0691093), (41.9028448, -84.0691683), (41.9028718, -84.069234), (41.9028907, -84.0692984), (41.9029067, -84.0693708), (41.9029217, -84.0694607), (41.9029277, -84.0695492), (41.9029247, -84.0696283), (41.9029237, -84.0697222), (41.9029097, -84.0698), (41.9028837, -84.0699234), (41.9028588, -84.0700012), (41.9028189, -84.0700924), (41.9027829, -84.07015), (41.902743, -84.0702117), (41.902712, -84.0702479), (41.9026472, -84.070319), (41.9026023, -84.0703566), (41.901861, -84.0697145)]","[322.24651340920695, 350.1627644801209, 358.99438774197205, 362.98590303718623, 370.19320397545187, 374.39642358610354, 377.8211842877722, 382.07964251699667, 385.33559726396487, 388.1176610279831, 390.8805368418046, 391.95599252901974, 392.38017800753676, 392.65376806868454, 391.3095498138339, 388.3298874944668, 387.2614629446921, 382.8622749481352, 376.99362243371417, 371.8883095939157, 363.91045473688814, 356.2536363861001, 348.7460333364873, 342.4247863652291, 330.3978268550248, 321.7592068190135]",321.7592068190135,392.65376806868454,369.3208003269732
,"-84.08374689999999,41.9087669,0 -84.08411169999999,41.9095844,0 -84.0841734,41.9095604,0 -84.084227,41.9095424,0 -84.08386489999999,41.9086981,0 -84.083755,41.9086621,0 -84.0827438,41.9089127,0 -84.08271430000001,41.9089266,0 -84.0826338,41.9090105,0 -84.0826392,41.9090424,0 -84.08374689999999,41.9087669,0 ","-84.08374689999999,41.9087669 -84.0826392,41.9090424 -84.082702,41.9091965 -84.0827503,41.9092983 -84.08279589999999,41.9093741 -84.0828441,41.909424 -84.08289240000001,41.909456 -84.0829809,41.9095159 -84.0830158,41.9095458 -84.08310969999999,41.9095937 -84.08316600000001,41.9096237 -84.0832518,41.9096476 -84.0833269,41.9096656 -84.08339669999999,41.9096815 -84.08350660000001,41.9096975 -84.0835683,41.9097095 -84.08366220000001,41.9097075 -84.0837722,41.9096915 -84.0838339,41.9096775 -84.0839197,41.9096536 -84.0840297,41.9096217 -84.0840967,41.9095937 -84.08411169999999,41.9095844 -84.08374689999999,41.9087669 ",Adrian Lenawee Christian HS,"41.9087669,-84.08374689999999","[(41.9087669, -84.0837469), (41.9090424, -84.0826392), (41.9091965, -84.082702), (41.9092983, -84.0827503), (41.9093741, -84.0827959), (41.909424, -84.0828441), (41.909456, -84.0828924), (41.9095159, -84.0829809), (41.9095458, -84.0830158), (41.9095937, -84.0831097), (41.9096237, -84.083166), (41.9096476, -84.0832518), (41.9096656, -84.0833269), (41.9096815, -84.0833967), (41.9096975, -84.0835066), (41.9097095, -84.0835683), (41.9097075, -84.0836622), (41.9096915, -84.0837722), (41.9096775, -84.0838339), (41.9096536, -84.0839197), (41.9096217, -84.0840297), (41.9095937, -84.0840967), (41.9095844, -84.0841117), (41.9087669, -84.0837469)]","[317.79844142067765, 324.6655966917755, 333.30540082638515, 340.5476135011761, 343.11747366730447, 342.2878333925256, 343.472748669659, 346.6534508544694, 347.6520826728511, 349.9823205902142, 348.08245653711714, 346.8752849007932, 346.6520950549896, 345.3688057776548, 346.91424044238266, 343.5366001854403, 337.0018994830773, 332.6738025846622, 326.5261621781656, 320.86690835165024, 315.9802976137736, 314.01770117413383]",314.01770117413383,349.9823205902142,336.99905529867624
,"-83.37652180000001,42.0373919,0 -83.3765245,42.0382475,0 -83.3765808,42.0382455,0 -83.3766157,42.0382106,0 -83.3766827,42.0382136,0 -83.37667070000001,42.037612,0 -83.3766519,42.037612,0 -83.37664650000001,42.0375034,0 -83.376672,42.0375054,0 -83.3766586,42.0374397,0 -83.37662640000001,42.037364,0 -83.37662640000001,42.0373341,0 -83.3765875,42.0373062,0 -83.37640380000001,42.0373042,0 -83.3762066,42.0372942,0 -83.3753591,42.0373839,0 -83.3753591,42.0374078,0 -83.37652180000001,42.0373919,0 ","-83.37652180000001,42.0373919 -83.3753591,42.0374078 -83.3753483,42.0374699 -83.3753457,42.0375346 -83.3753349,42.0376064 -83.3753349,42.0376791 -83.37535099999999,42.0377418 -83.37537519999999,42.0378026 -83.3754019,42.0378434 -83.3754301,42.0378952 -83.3754758,42.037939 -83.3755079,42.0379709 -83.3755388,42.0380038 -83.3755871,42.0380456 -83.3756353,42.0380845 -83.37568229999999,42.0381253 -83.3757507,42.0381632 -83.375815,42.038202 -83.3759264,42.0382448 -83.3765245,42.0382475 -83.37652180000001,42.0373919 ",Carleton Airport High School,"42.0373919,-83.37652180000001","[(42.0373919, -83.3765218), (42.0374078, -83.3753591), (42.0374699, -83.3753483), (42.0375346, -83.3753457), (42.0376064, -83.3753349), (42.0376791, -83.3753349), (42.0377418, -83.375351), (42.0378026, -83.3753752), (42.0378434, -83.3754019), (42.0378952, -83.3754301), (42.037939, -83.3754758), (42.0379709, -83.3755079), (42.0380038, -83.3755388), (42.0380456, -83.3755871), (42.0380845, -83.3756353), (42.0381253, -83.3756823), (42.0381632, -83.3757507), (42.038202, -83.375815), (42.0382448, -83.3759264), (42.0382475, -83.3765245), (42.0373919, -83.3765218)]","[315.91322134659237, 320.05855137841684, 323.7043210999865, 331.7734991616125, 338.9943874857664, 342.66684042340864, 345.57626352736975, 345.8734903587247, 348.703058155375, 347.1222838100626, 346.964742148226, 347.89932020687456, 348.17182896775057, 348.85557891588746, 351.340047187619, 350.54677134402743, 352.1623572329877, 350.3781585675567, 311.7952519392294]",311.7952519392294,352.1623572329877,340.4473670135513
,"-84.7373745,42.241567,0 -84.7373704,42.2424775,0 -84.73745630000001,42.2424725,0 -84.7374992,42.2422302,0 -84.737526,42.2419999,0 -84.73754750000001,42.2419294,0 -84.73753670000001,42.2415819,0 -84.7375354,42.2415104,0 -84.73744689999999,42.2414489,0 -84.7370767,42.2414489,0 -84.7367589,42.2414449,0 -84.73657780000001,42.2414429,0 -84.73615409999999,42.2415174,0 -84.73614999999999,42.2415769,0 -84.7373745,42.241567,0 ","-84.7373745,42.241567 -84.73614999999999,42.2415769 -84.7361259,42.241703 -84.7361259,42.241849 -84.73611649999999,42.2420029 -84.7361018,42.242127 -84.73609500000001,42.2421746 -84.7361219,42.2421945 -84.73622109999999,42.242269 -84.73629219999999,42.2423156 -84.736378,42.2423792 -84.7364357,42.2424238 -84.736484,42.2424556 -84.73657919999999,42.2425311 -84.73664220000001,42.2425271 -84.73674680000001,42.2425211 -84.73683800000001,42.2425132 -84.7369265,42.2425082 -84.7369896,42.2425023 -84.73708209999999,42.2424983 -84.7371907,42.2424923 -84.7372524,42.2424864 -84.7373034,42.2424824 -84.7373704,42.2424775 -84.7373745,42.241567 ",Albion College - college,"42.241567,-84.7373745","[(42.241567, -84.7373745), (42.2415769, -84.73615), (42.241703, -84.7361259), (42.241849, -84.7361259), (42.2420029, -84.7361165), (42.242127, -84.7361018), (42.2421746, -84.736095), (42.2421945, -84.7361219), (42.242269, -84.7362211), (42.2423156, -84.7362922), (42.2423792, -84.736378), (42.2424238, -84.7364357), (42.2424556, -84.736484), (42.2425311, -84.7365792), (42.2425271, -84.7366422), (42.2425211, -84.7367468), (42.2425132, -84.736838), (42.2425082, -84.7369265), (42.2425023, -84.7369896), (42.2424983, -84.7370821), (42.2424923, -84.7371907), (42.2424864, -84.7372524), (42.2424824, -84.7373034), (42.2424775, -84.7373704), (42.241567, -84.7373745)]","[331.60145858694494, 341.7208276525389, 353.38067348609985, 375.8705520961939, 400.5249641347561, 411.1860099610998, 409.07654815194326, 403.72853838661626, 400.3978683085483, 400.5288324258367, 402.64269134362274, 403.7496050223819, 412.09567756826533, 402.1739095438932, 387.0238689414905, 374.1768647149033, 363.8217347859515, 356.4297540069082, 348.5063568325429, 340.8594621553555, 336.6834783229673, 334.1534988593373, 331.81454013488775]",331.60145858694494,412.09567756826533,374.87598762709064
,"-83.01445630000001,42.5871203,0 -83.01566459999999,42.5872902,0 -83.01560689999999,42.5871578,0 -83.01556669999999,42.5871578,0 -83.0155372,42.5871539,0 -83.0148023,42.5871095,0 -83.0144227,42.5870295,0 -83.01436510000001,42.5870611,0 -83.01434089999999,42.5871519,0 -83.0143222,42.5872309,0 -83.0143396,42.5872437,0 -83.0142618,42.5872526,0 -83.0142699,42.5872734,0 -83.0142524,42.5873168,0 -83.01428730000001,42.5873326,0 -83.0142578,42.5874353,0 -83.0141156,42.5879724,0 -83.0141666,42.5879803,0 -83.0141921,42.5879942,0 -83.014231,42.5879833,0 -83.01445630000001,42.5871203,0 ","-83.01445630000001,42.5871203 -83.014231,42.5879833 -83.0154809,42.5878857 -83.01566459999999,42.5872902 -83.01445630000001,42.5871203 ",Aldai Stevenson High School,"42.5871203,-83.01445630000001","[(42.5871203, -83.0144563), (42.5879833, -83.014231), (42.5878857, -83.0154809), (42.5872902, -83.0156646), (42.5871203, -83.0144563)]","[320.32024122751784, 392.3661186094849, 331.24227521541474]",320.32024122751784,392.3661186094849,347.9762116841392
,"-82.58239759999999,42.6286202,0 -82.58131539999999,42.6284475,0 -82.5812751,42.6285797,0 -82.5821401,42.6287139,0 -82.5821535,42.6287021,0 -82.5824835,42.6287514,0 -82.5825425,42.6287179,0 -82.5825881,42.6285797,0 -82.5825854,42.628558,0 -82.58261760000001,42.6284594,0 -82.5826417,42.6284534,0 -82.58281340000001,42.6278772,0 -82.5826256,42.6278476,0 -82.58239759999999,42.6286202,0 ","-82.58239759999999,42.6286202 -82.5826256,42.6278476 -82.5824472,42.6278249 -82.5823346,42.6278111 -82.5822649,42.6277933 -82.5821978,42.6277834 -82.5821522,42.6277716 -82.5820932,42.6277598 -82.5820154,42.6277321 -82.58180350000001,42.6277282 -82.5817526,42.627738 -82.5815192,42.6278269 -82.58145210000001,42.6279985 -82.58131539999999,42.6284475 -82.58239759999999,42.6286202 ",Algonac High School,"42.6286202,-82.58239759999999","[(42.6286202, -82.5823976), (42.6278476, -82.5826256), (42.6278249, -82.5824472), (42.6278111, -82.5823346), (42.6277933, -82.5822649), (42.6277834, -82.5821978), (42.6277716, -82.5821522), (42.6277598, -82.5820932), (42.6277321, -82.5820154), (42.6277282, -82.5818035), (42.627738, -82.5817526), (42.6278269, -82.5815192), (42.6279985, -82.5814521), (42.6284475, -82.5813154), (42.6286202, -82.5823976)]","[288.1854131712847, 290.1572743818243, 295.3665609901971, 303.47553485868303, 309.67907281607773, 316.2486002066035, 324.1007839593092, 339.62281332597854, 362.2846867895066, 365.38877767572166, 373.46731143431805, 340.7196683055817, 297.97453756670336]",288.1854131712847,373.46731143431805,323.59007965244535
,"-83.2273711,42.2455509,0 -83.2285244,42.2455251,0 -83.2284976,42.2454715,0 -83.22848550000001,42.2454338,0 -83.2275226,42.2454517,0 -83.2272906,42.2454566,0 -83.2272383,42.2454973,0 -83.2272598,42.2456741,0 -83.227245,42.2456741,0 -83.2272826,42.2463829,0 -83.2273174,42.2463958,0 -83.2273603,42.2464087,0 -83.22739919999999,42.2464186,0 -83.2273711,42.2455509,0 ","-83.2273711,42.2455509 -83.22739919999999,42.2464186 -83.2274395,42.2464249 -83.2274864,42.2464338 -83.22753470000001,42.2464398 -83.2275897,42.2464477 -83.227638,42.2464497 -83.22769959999999,42.2464507 -83.2277734,42.2464467 -83.22784179999999,42.2464398 -83.2279089,42.2464279 -83.2279759,42.246413 -83.2280349,42.2463981 -83.2280939,42.2463782 -83.2281449,42.2463564 -83.2282026,42.2463266 -83.2282508,42.2463008 -83.22830310000001,42.246267 -83.22835139999999,42.2462293 -83.2283917,42.2461936 -83.2284265,42.2461539 -83.2284641,42.2461191 -83.2284896,42.2460834 -83.2285083,42.2460476 -83.22853379999999,42.2460119 -83.2285526,42.2459662 -83.22857,42.2459146 -83.2285794,42.2458789 -83.2285875,42.2458312 -83.2285875,42.2457816 -83.22859010000001,42.2457389 -83.2285808,42.2456803 -83.2285754,42.2456386 -83.2285526,42.245587 -83.2285378,42.2455473 -83.2285244,42.2455251 -83.2273711,42.2455509 ",Allen Park High School,"42.2455509,-83.2273711","[(42.2455509, -83.2273711), (42.2464186, -83.2273992), (42.2464249, -83.2274395), (42.2464338, -83.2274864), (42.2464398, -83.2275347), (42.2464477, -83.2275897), (42.2464497, -83.227638), (42.2464507, -83.2276996), (42.2464467, -83.2277734), (42.2464398, -83.2278418), (42.2464279, -83.2279089), (42.246413, -83.2279759), (42.2463981, -83.2280349), (42.2463782, -83.2280939), (42.2463564, -83.2281449), (42.2463266, -83.2282026), (42.2463008, -83.2282508), (42.246267, -83.2283031), (42.2462293, -83.2283514), (42.2461936, -83.2283917), (42.2461539, -83.2284265), (42.2461191, -83.2284641), (42.2460834, -83.2284896), (42.2460476, -83.2285083), (42.2460119, -83.2285338), (42.2459662, -83.2285526), (42.2459146, -83.22857), (42.2458789, -83.2285794), (42.2458312, -83.2285875), (42.2457816, -83.2285875), (42.2457389, -83.2285901), (42.2456803, -83.2285808), (42.2456386, -83.2285754), (42.245587, -83.2285526), (42.2455473, -83.2285378), (42.2455251, -83.2285244), (42.2455509, -83.2273711)]","[316.30686222777217, 319.04925678532607, 323.2657467742764, 326.95603165446687, 332.1369817572856, 335.42684622846826, 339.76322705238204, 344.15019989053906, 348.1118713363795, 351.2155719463279, 354.29320010344765, 357.25173279918334, 359.4458089159824, 360.6521807234266, 361.39055754120585, 362.5229739077623, 363.0276547716306, 362.7380123243046, 362.2529816630646, 360.4942249491811, 361.20034534314425, 359.69655780783097, 357.1847083740394, 356.847478046215, 353.9106924364237, 350.64391798181714, 348.32553959725846, 344.84366870343473, 339.9281156807044, 337.1068482856381, 330.93037753876933, 327.6536568252747, 320.1880752594, 315.91307660310144, 312.4235659138012]",312.4235659138012,363.0276547716306,344.49281564997904
,"-83.77545696328717,42.30415973972723,0 -83.77551658431938,42.30502102483347,0 -83.77561166369453,42.30501431939601,0 -83.77565926083797,42.30482598812019,0 -83.77567162723817,42.3047740689164,0 -83.7756649261178,42.3044880460478,0 -83.77569132319769,42.30448644892581,0 -83.77567577436433,42.30434704824633,0 -83.77565337226032,42.30408710713493,0 -83.77551410815467,42.30399295782969,0 -83.77516687251672,42.3040032117628,0 -83.77428267166768,42.30410612541241,0 -83.77427875962402,42.3041087132719,0 -83.77428052028745,42.30418099458366,0 -83.77545696328717,42.30415973972723,0 ","-83.77427962289079,42.30418142498592 -83.77427914341048,42.30420073309865 -83.77427832261684,42.30423640899205 -83.77427858031376,42.30425818135043 -83.77427701655863,42.3043155941909 -83.7742759725578,42.30434699052637 -83.77427480483217,42.30439047680431 -83.77427495392392,42.3044155040266 -83.77427489607634,42.30445451426392 -83.77427431013844,42.30447541943811 -83.77427583751455,42.30450484036724 -83.77427856423391,42.30453784122376 -83.77427964144474,42.30455979923994 -83.77428574924835,42.3045874642201 -83.77430080741544,42.30463333742951 -83.77431292864173,42.30466275422097 -83.77433409653395,42.30469708192314 -83.77435074718419,42.3047221932472 -83.77437823975825,42.30475855192178 -83.77439795180483,42.30478181550924 -83.77442945552627,42.30481274976184 -83.77446969650691,42.30485214960503 -83.77450564338758,42.30488098618679 -83.77455462411467,42.30491279633782 -83.7746014457305,42.30494009619893 -83.77465424801463,42.30496568959883 -83.7746976318424,42.30498323671132 -83.77474609045522,42.30499968128521 -83.77478617689081,42.30501116592472 -83.77482170329819,42.30502006177714 -83.77486189475324,42.30502916544848 -83.77490439811119,42.30503602886066 -83.77492873132536,42.30504111284008 -83.77497226760407,42.30504379186115 -83.77501097188605,42.3050465358783 -83.77506621188796,42.30504817441904 -83.77510226812718,42.30504757134079 -83.77514471117357,42.30504460583602 -83.77520293536976,42.30504112782389 -83.77531016305481,42.30503449705193 -83.77539172715751,42.30502837734733 -83.77546407379549,42.30502416767651 -83.77551570064078,42.30502012764699 -83.77545506596819,42.30416119554323 -83.77427962289079,42.30418142498592 ",Ann Arbor Skyline HS,"42.30415973972723,-83.77545696328717","[(42.30418142498592, -83.77427962289079), (42.30420073309865, -83.77427914341048), (42.30423640899205, -83.77427832261684), (42.30425818135043, -83.77427858031376), (42.3043155941909, -83.77427701655863), (42.30434699052637, -83.7742759725578), (42.30439047680431, -83.77427480483217), (42.3044155040266, -83.77427495392392), (42.30445451426392, -83.77427489607634), (42.30447541943811, -83.77427431013844), (42.30450484036724, -83.77427583751455), (42.30453784122376, -83.77427856423391), (42.30455979923994, -83.77427964144474), (42.3045874642201, -83.77428574924835), (42.30463333742951, -83.77430080741544), (42.30466275422097, -83.77431292864173), (42.30469708192314, -83.77433409653395), (42.3047221932472, -83.77435074718419), (42.30475855192178, -83.77437823975825), (42.30478181550924, -83.77439795180483), (42.30481274976184, -83.77442945552627), (42.30485214960503, -83.77446969650691), (42.30488098618679, -83.77450564338758), (42.30491279633782, -83.77455462411467), (42.30494009619893, -83.7746014457305), (42.30496568959883, -83.77465424801463), (42.30498323671132, -83.7746976318424), (42.30499968128521, -83.77474609045522), (42.30501116592472, -83.77478617689081), (42.30502006177714, -83.77482170329819), (42.30502916544848, -83.77486189475324), (42.30503602886066, -83.77490439811119), (42.30504111284008, -83.77492873132536), (42.30504379186115, -83.77497226760407), (42.3050465358783, -83.77501097188605), (42.30504817441904, -83.77506621188796), (42.30504757134079, -83.77510226812718), (42.30504460583602, -83.77514471117357), (42.30504112782389, -83.77520293536976), (42.30503449705193, -83.77531016305481), (42.30502837734733, -83.77539172715751), (42.30502416767651, -83.77546407379549), (42.30502012764699, -83.77551570064078), (42.30416119554323, -83.77545506596819), (42.30418142498592, -83.77427962289079)]","[318.5942096159005, 318.9758762131594, 320.06968568722135, 320.7903864079634, 324.21488568773856, 326.68991329028626, 330.6694027185702, 333.06681199402084, 337.3363179805468, 339.9883090177012, 343.3798863993641, 347.28745566368366, 350.274417876209, 353.10599576837086, 357.2259131281975, 359.7018757274592, 361.409520874929, 362.7237596808626, 364.39000498526656, 365.3332581754039, 365.9187174411815, 367.42812667495986, 367.8555988606858, 367.28993342846087, 366.658416711488, 365.2707978620251, 363.67677395970674, 361.4969781274606, 359.45333121857726, 357.5381615118649, 355.3958580001274, 352.60155537118015, 351.55375175414457, 347.8375615630135, 344.9641078670393, 340.5936096980845, 337.48300189713655, 333.35422528131323, 328.47573107115744, 321.2545074319525, 317.051811771364, 315.03200920359063, 313.9561687606617, 0.7381888116997735, 318.5942096159005]",0.7381888116997735,367.8555988606858,336.81557823972526
,"-85.2806507,44.8649571,0 -85.28182820000001,44.865036,0 -85.2818496,44.8649761,0 -85.2818738,44.8648773,0 -85.2819408,44.8647632,0 -85.2818604,44.8647442,0 -85.2818067,44.864748,0 -85.2817584,44.8647442,0 -85.2817021,44.8647214,0 -85.28167259999999,44.8646929,0 -85.28165920000001,44.8646577,0 -85.28165920000001,44.8646197,0 -85.2816967,44.8645655,0 -85.2817316,44.8645018,0 -85.28175040000001,44.8644372,0 -85.28175040000001,44.8643925,0 -85.2817343,44.8643535,0 -85.2817021,44.8642813,0 -85.2816833,44.8642224,0 -85.2816806,44.8641729,0 -85.281678,44.8640874,0 -85.2816699,44.8640323,0 -85.28168599999999,44.8639258,0 -85.2816109,44.8639334,0 -85.28150359999999,44.8639467,0 -85.2813534,44.8639581,0 -85.2812113,44.8639467,0 -85.2810745,44.8639277,0 -85.28099400000001,44.8639125,0 -85.28087600000001,44.8638878,0 -85.2806587,44.8641891,0 -85.2806507,44.8649571,0 ","-85.2806507,44.8649571 -85.2806587,44.8641891 -85.28046929999999,44.8644361 -85.28044509999999,44.864554 -85.2805068,44.864746 -85.2804907,44.8648106 -85.2805041,44.8648943 -85.28048800000001,44.8649361 -85.28054969999999,44.8650426 -85.2806034,44.8650578 -85.280716,44.8650635 -85.2807241,44.8650445 -85.2807911,44.8650483 -85.28078309999999,44.8650768 -85.2811787,44.8651129 -85.2811787,44.8650768 -85.28125110000001,44.8650502 -85.28132890000001,44.8650369 -85.2814389,44.8650559 -85.2815274,44.8650806 -85.2815784,44.8651034 -85.28162399999999,44.8651148 -85.281691,44.8651452 -85.28175,44.8651566 -85.28182820000001,44.865036 -85.2806507,44.8649571 ",Antrim County -Torch Lake - youth,"44.8649571,-85.2806507","[(44.8649571, -85.2806507), (44.8641891, -85.2806587), (44.8644361, -85.2804693), (44.864554, -85.2804451), (44.864746, -85.2805068), (44.8648106, -85.2804907), (44.8648943, -85.2805041), (44.8649361, -85.280488), (44.8650426, -85.2805497), (44.8650578, -85.2806034), (44.8650635, -85.280716), (44.8650445, -85.2807241), (44.8650483, -85.2807911), (44.8650768, -85.2807831), (44.8651129, -85.2811787), (44.8650768, -85.2811787), (44.8650502, -85.2812511), (44.8650369, -85.2813289), (44.8650559, -85.2814389), (44.8650806, -85.2815274), (44.8651034, -85.2815784), (44.8651148, -85.281624), (44.8651452, -85.281691), (44.8651566, -85.28175), (44.865036, -85.2818282), (44.8649571, -85.2806507)]","[280.0180919949842, 195.6916934919053, 156.33900738143035, 85.53370010536567, 67.63233189018757, 44.37537633584153, 42.875787417010855, 40.71348415767575, 38.70918652249498, 42.32714292740427, 37.1165948450929, 49.30441060796574, 55.526563579577, 148.2220977959156, 143.6931833969995, 159.33565240934777, 178.2415266035002, 207.52311639477483, 231.73663508341536, 246.3869027570368, 258.8342802019773, 278.32147581583257, 294.1721647856187, 306.6668798384322]",37.1165948450929,306.6668798384322,149.55405359749113
,"-83.0174535,43.8055552,0 -83.01749239999999,43.8064079,0 -83.01768420000001,43.8064031,0 -83.0176775,43.8060914,0 -83.01768819999999,43.8058843,0 -83.0176922,43.8057101,0 -83.01768149999999,43.8055813,0 -83.0176775,43.8055271,0 -83.017664,43.8054904,0 -83.0176506,43.8054613,0 -83.0176211,43.8054323,0 -83.01757689999999,43.8054071,0 -83.0175259,43.8053975,0 -83.01747229999999,43.8053887,0 -83.01739449999999,43.8053907,0 -83.0172014,43.8053839,0 -83.0166904,43.8053926,0 -83.01662330000001,43.8054362,0 -83.01628669999999,43.805441,0 -83.0162921,43.8055852,0 -83.0174535,43.8055552,0 ","-83.0174535,43.8055552 -83.0162921,43.8055852 -83.01630419999999,43.805711 -83.0163068,43.8057788 -83.0163136,43.8058533 -83.0163283,43.8059066 -83.0163551,43.8060091 -83.01639400000001,43.8061166 -83.01640879999999,43.8061524 -83.0164597,43.8062279 -83.0164892,43.806255 -83.0165415,43.8062908 -83.01661129999999,43.8063247 -83.01666489999999,43.806346 -83.0167186,43.8063643 -83.0167829,43.8063808 -83.0168487,43.8063943 -83.0169171,43.8064031 -83.01698810000001,43.806405 -83.0170887,43.8064069 -83.0172148,43.8064108 -83.0173475,43.8064089 -83.01749239999999,43.8064079 -83.0174535,43.8055552 ",Bad Axe HS,"43.8055552,-83.0174535","[(43.8055552, -83.0174535), (43.8055852, -83.0162921), (43.805711, -83.0163042), (43.8057788, -83.0163068), (43.8058533, -83.0163136), (43.8059066, -83.0163283), (43.8060091, -83.0163551), (43.8061166, -83.016394), (43.8061524, -83.0164088), (43.8062279, -83.0164597), (43.806255, -83.0164892), (43.8062908, -83.0165415), (43.8063247, -83.0166113), (43.806346, -83.0166649), (43.8063643, -83.0167186), (43.8063808, -83.0167829), (43.8063943, -83.0168487), (43.8064031, -83.0169171), (43.806405, -83.0169881), (43.8064069, -83.0170887), (43.8064108, -83.0172148), (43.8064089, -83.0173475), (43.8064079, -83.0174924), (43.8055552, -83.0174535)]","[306.8062798880565, 308.68614711646364, 313.5109629699221, 319.9530645647623, 323.49550124869575, 333.862663811508, 346.57896738233876, 351.3660286754582, 359.119321368037, 360.3931618977562, 360.37801602574325, 357.93642965099514, 355.5875756293317, 353.0312741876114, 349.1655087733287, 345.0418567355795, 339.97979523002607, 333.25302096976696, 325.06352755560914, 318.1935532835837, 312.454120914169, 311.0035223883166]",306.8062798880565,360.3931618977562,335.6754681939573
