field,foul_ft,fop_ft,foul_pct,dist_calc
. Beal City,25698.31189,89488.15585,22.31018312,284.8751322
. Buchanan,22659.93525,88476.13651,20.38936134,295.0641231
. Grosse Pointe Woods University Liggett,22388.47394,83118.81883,21.21983548,290.4902502
. Jackson Lumen Christi,20497.61884,92031.7019,18.21535819,277.7276851
. Kalamazoo Christian,23934.31071,92206.40663,20.60802728,287.4195487
. Royal Oak Shrine,14713.11877,97502.16666,13.11151036,320.1477256
. Hemlock,24829.6662,87160.37509,22.17131623,269.3867316
. Chesaning,42709.40336,93437.23628,31.37014874,59.94498027
. Maple City Glen Lake,23438.08516,92407.71672,20.23214029,368.9512649
. Midland Bullock Creek,29072.80779,99260.19461,22.65419436,291.6738777
. Rogers City,18534.92547,71875.39688,20.50089524,280.4059412
. Standish-Sterling,27613.11976,95494.59827,22.4300476,278.2714665
. New Lothrop,37413.55978,89468.33618,29.48691734,273.9964247
. Rochester Hills Lutheran Northwest,19787.4055,71052.62656,21.78269321,233.0472296
. Bridgman,29299.12396,94095.2871,23.7442877,302.1086774
. Indian River Inland Lakes,14836.16434,85638.11734,14.76613129,273.92568
. Breckenridge,22445.34528,82497.39484,21.38818298,268.6909652
. Essexville Garber,25204.3085,91284.19934,21.63673393,284.3948174
. Watervliet,29976.7276,90757.15621,24.82876112,286.9041111
. Bad Axe,38845.40851,86274.33515,31.04658576,274.2044342
. Cheboygan,28930.11925,94238.97678,23.48813151,313.8467177
. Marine City Cardinal Mooney,35258.32556,89228.73878,28.32288298,219.1567996
Adrian College,14280.3593,106000.2871,11.87253289,320.7501753
Aldai Stevenson High School,20786.3316,88749.27896,18.97677978,270.5304514
Alden - Antrim County - Lakeside Field,106926.3749,21536.36865,83.2353194,1.120129417
Algonac High School,30426.88543,83361.73317,26.73983198,253.1877964
Allen Park High School,21933.08596,94654.97399,18.81246327,279.763017
Athens High School - Troy,17789.87854,85160.39927,17.28006851,275.0945199
Bangor High School,39831.56961,103637.228,27.76322816,277.1151186
Bath High School,17232.89814,102353.1447,14.41045939,0
Battle Creek (Bailey),32229.58648,103628.3847,23.72299998,333.6847562
Battle Creek lakeview,39069.38689,95422.21581,29.04968497,273.9588246
Bay City All Saints HS,25765.97061,87054.94321,22.83793823,6.518120275
Bay City All Saints Youth Field,12856.77315,31470.61155,29.00413195,163.5043762
Bay City john Glen,25783.11916,102941.3101,20.02970167,286.62581
Blissfield,20396.01801,92349.49511,18.09031459,285.3350485
Boeve Baseball Stadium - Holland,30723.02451,99673.62687,23.56120666,293.3615183
Borden Field  Coldwater,46389.83746,88202.26169,34.46698413,271.3781868
Boyne City - Youth Field,18057.44788,83521.72831,17.77672212,273.0802967
Boyne City County Park,21397.3751,92586.5827,18.77226893,279.5691394
Bronson high School,25821.50103,90957.15232,22.11149066,273.4998327
Brownstone Woodhaven HS,35410.33247,85450.42451,29.29845332,277.2273647
Calvin College,36043.57497,104041.9263,25.72969696,308.2549583
Calvin College ,36768.41777,104570.5854,26.01434632,308.3256378
Camden-Frontier High School,30123.2145,76954.16051,28.13219366,257.5734794
Canton High School,34332.19241,96250.28949,26.29157596,285.9109913
Carleton Airport High School,21261.72608,88074.04987,19.44626623,275.1620576
Centerville High School,30616.65799,92985.2718,24.77037215,287.7922687
Charlotte High School,35678.8235,83501.23625,29.93690687,271.9903671
Eaton Rapid HS Field ,34106.79852,85396.3334,28.54050599,291.4441156
Chesaning Union High School,42979.91249,94199.2011,31.33123649,60.02638676
Chesaning Union HS - Field ,34692.33411,83266.45368,29.41055496,261.3228072
Clare High School,19720.51683,93773.66823,17.37579491,294.4924368
Clarenceville - Livonia,19165.72005,82437.50632,18.86329867,262.9228417
Clinton High School,23741.90416,91577.13604,20.58801749,295.0200007
CMU,22847.05462,108212.8525,17.43252771,314.2411995
Coldwater Heritage Park,44480.75313,89491.64919,33.20142982,271.8160677
Comerica Park,28154.59036,113641.242,19.85572488,302.7486065
Concord High School,18587.87042,82374.38349,18.41071262,264.1845306
Coors Field - Colorado MLB,24746.11281,116885.7307,17.47213918,349.4816443
Cornerstone Baseball Field - Grand Rapids,21212.06527,103015.7595,17.07513217,306.0305235
Cranbrook High School,33362.24693,84810.9215,28.23165983,262.0954808
Dansville Baseball Field HS,38155.47559,101273.4117,27.36554549,293.2089997
Davenport University,30258.73379,111118.0591,21.40290013,297.7280115
Decatur High School,18841.0379,93430.89022,16.7816107,272.447649
Decatur High School - Baseball,18970.67065,93057.53307,16.93383453,272.6831294
Decatur Youth Field,10576.5881,39318.26927,21.19775194,188.9330769
Detroit Catholic Central - Field ,33484.08652,90187.56369,27.07498967,269.4234344
Detroit Catholic Central HS - Novi,18311.14017,96536.82368,15.94380915,290.2661029
