Division,Host,Location,District,closest_park_1,closest_park_2,closest_park_3,location1,location2,location3
1,Zeeland West,"http://maps.google.com/maps?q=Zeeland Baseball Fields, 3091 96th Ave.  Zeeland, MI 49464",7,Zeeland West HS,,,,Zeeland West HS,
1,White Lake Lakeland,"http://maps.google.com/maps?q=Lakeland HS - Baseball, 1630 Bogie Lake Road  White Lake, MI ",30,White Lake Lakeland HS,,,White Lake Lakeland HS,Walled Lake Northern HS,Milford HS
1,West Bloomfield,"http://maps.google.com/maps?q=West Bloomfield , 4925 Orchard Lake Rd  West Bloomfield, MI 48323",29,West Bloomfield HS,,,West Bloomfield HS,Orchard Lake St Marys High School,North Farmington HS
2,Wayland,"http://maps.google.com/maps?q=Phil Regan Field, 870 E. Superior  Wayland, MI ",44,Wayland HS,,,Wayland HS,Wayland JV/,Hopkins HS
3,Watervliet,"http://maps.google.com/maps?q=Watervliet - Baseball, Watervliet  Watervliet, MI ",73,Watervliet HS,,,Watervliet HS,Coloma HS,Lawrence HS
2,Vicksburg,"http://maps.google.com/maps?q=Vicksburg High School, 501 East Highway Street  Vicksburg, MI 49097",46,Vicksburg HS,,,Vicksburg HS,Schoolcraft HS,Mendon High School
3,Vassar,"http://maps.google.com/maps?q=Vassar High School - Baseball, 220 Athletic Street  Vassar, MI ",95,Vassar HS,,,Vassar HS,Vassar - Field 2 ,Reese HS
2,Trenton,"http://maps.google.com/maps?q=Trenton Baseball Stadium, 2601 Charlton  Trenton, MI ",52,Trenton High School,,,Trenton High School,Riverview HS,Gabriel Richard HS
3,Traverse City Christian,"http://maps.google.com/maps?q=Traverse City Christian School, 753 Emerson Rd  Traverse City, MI 49696",70,Traverse City Christian HS,,,Traverse City Christian HS,Traverse City St Frances HS,Traverse City Central HS - field 1
1,Sterling Heights Stevenson,"http://maps.google.com/maps?q=Stevenson High School, 39701 Dodge Park Rd.  Sterling Heights, MI ",25,Sterling Heights Stevenson HS,,,,Sterling Heights Stevenson HS,
4,Sterling Heights Parkway Christian,"http://maps.google.com/maps?q=Parkway Christian School - Baseball,   Sterling Heights , MI ",125,Sterling Heights - Parkway Christian High School,,,Sterling Heights - Parkway Christian High School,Aldai Stevenson High School,Sterling Heights Stevenson HS
1,St Clair Shores Lake Shore,"http://maps.google.com/maps?q=St Clair Shores Lake Shore, 22980 Thirteen Mile Rd  St Clair Shores, MI 48082",21,St Clair HS,,,,,
3,Schoolcraft,"http://maps.google.com/maps?q=Schoolcraft High School, 551 East Lyons Street  Schoolcraft, MI 49087",82,Schoolcraft HS,,,Schoolcraft HS,Vicksburg HS,Portage Northern High School
3,Sanford Meridian,"http://maps.google.com/maps?q=Meridian High School - Baseball, 3303 N. M-30  Sanford, MI ",71,Sanford Meridian HS,,,Sanford Meridian HS,Northwood University ,Dow Diamond (Midland) 
2,Saginaw Swan Valley,"http://maps.google.com/maps?q=Swan Valley High School, 8400 O'hern Rd  Saginaw, MI 48609",64,Saginaw Swan Valley -Field  ,,,Saginaw Swan Valley High School,Saginaw Swan Valley -Field  ,Saginaw Nouvel HS
4,Rudyard,"http://maps.google.com/maps?q=Rudyard Township fields - Baseball, 11185 w. second st  rudyard, MI ",99,Rudyard HS,,,Rudyard HS,Pickford HS,Soo High School
2,Richmond,"http://maps.google.com/maps?q=Richmond Baseball Facility, 35320 Division  Richmond , MI ",58,Richmond High School,,,Richmond High School,New Haven Merritt Academy HS,Memphis HS
3,Ravenna,"http://maps.google.com/maps?q=Ravenna Citizen's Field, 2766 S. Ravenna Rd.  Ravenna, MI ",76,Ravenna HS,,,Ravenna HS,Muskegon Oakridge HS,Coopersville HS - JV - practice
1,Portage Northern,"http://maps.google.com/maps?q=Portage Northern HS - Baseball, 1000 Idaho Street  Portage, MI ",8,Portage Northern High School,,,Portage Northern High School,,
4,Peck,"http://maps.google.com/maps?q=Peck High School - Baseball,   Peck, MI ",123,Peck HS,,,Peck HS,Yale HS,Brown City HS
1,Oxford,"http://maps.google.com/maps?q=Oxford High School - Baseball, 745 N. Oxford Rd  Oxford, MI ",31,Oxford HS,,,Oxford HS,Oxford 16u/JV ,Lake Orion HS
2,Owosso,"http://maps.google.com/maps?q=Owosso High School, 765 E North St  Owosso, MI 48867",62,Owosso HS,,,Owosso HS,Corunna HS,Durand HS
3,Ottawa Lake Whiteford,"http://maps.google.com/maps?q=Whiteford High School - Baseball,   Ottawa Lake, MI ",87,Ottawa Lake - Whiteford High School,,,Ottawa Lake - Whiteford High School,Blissfield HS,Petersburg Summerfield HS
1,Northville,"http://maps.google.com/maps?q=Northville High School - Baseball, 45700 W. Six Mile Rd.  Northville, MI ",15,Northville HS,,,Northville HS,,
2,North Branch,"http://maps.google.com/maps?q=North Branch High School - Baseball, 6598 Brush Street  North Branch, MI ",59,North Branch HS,,,North Branch HS,Marlette High School,Brown City HS
4,New Buffalo,"http://maps.google.com/maps?q=Slater Field, 1112 E. Clay St.  New Buffalo, MI ",113,New Buffalo HS,,,New Buffalo HS,New Buffalo- LL ,Three Oaks River Valley HS
3,Negaunee,"http://maps.google.com/maps?q=Irontown Field, Cherry St.  Negaunee, MI ",65,Negaunee LL - LaCombe Field ,,,Negaunee LL - LaCombe Field ,Marquette HS - Field 2,Marquette HS - Haley Field
3,Napoleon,"http://maps.google.com/maps?q=Napoleon High - Baseball, 201-21 west ave.  Napoleon, MI ",84,Napoleon HS,,,Napoleon HS,Brooklyn Columbia Central HS,Grass Lake HS
4,Muskegon Western Michigan Christian,"http://maps.google.com/maps?q=Warrior Field, 455 E Ellis Rd  Norton Shores, MI 49442",108,Muskegon Western Michigan Christian,,,Muskegon Western Michigan Christian,Muskegon Western Michigan Christian HS,Muskegon Mona Shores HS
2,Muskegon Oakridge,"http://maps.google.com/maps?q=Oakridge HS Baseball Field, 5493 Hall Rd  Muskegon, MI ",38,Muskegon Oakridge HS,,,Muskegon Oakridge HS,Muskegon Orchard View HS,Muskegon Community
1,Muskegon Mona Shores,"http://maps.google.com/maps?q=Mona Shores Baseball Field, 1121 W. Seminole Rd.  Muskegon, MI ",3,Muskegon Mona Shores HS,,,Muskegon Mona Shores HS,,
4,Morenci,"http://maps.google.com/maps?q=Morenci, 788 Coomer  Morenci, MI 49256",120,Morenci HS,,,Morenci HS,Sand Creek HS,Hudson high School
2,Middleville Thornapple Kellogg,"http://maps.google.com/maps?q=Thornapple Kellogg High School - Baseball, 3885 Bender  Middleville, MI ",41,Middleville Thornapple Kellogg HS,,,Middleville Thornapple Kellogg HS,Caledonia HS,Wayland JV/
2,Mason,"http://maps.google.com/maps?q=Mason High School - Baseball, 1001 S. Barnes  Mason, MI ",49,Mason HS,,,Mason HS,Dansville HS,Leslie HS
4,Martin,"http://maps.google.com/maps?q=Martin Baseball Field, 1556 Chalmers Street  Martin, MI ",115,Martin HS,,,Martin HS,Otsego HS,Plainwell HS
1,Marquette,"http://maps.google.com/maps?q=North Marquette Fields,   Marquette, MI ",1,Marquette HS - Haley Field,,,,Marquette HS - Haley Field,MarquetteField 
4,Marion,"http://maps.google.com/maps?q=Marion Athletic Complex - Baseball, 2213 20 Mile Rd.  Marion, MI ",106,Marion HS,,,Marion High School,Marion HS,McBain HS
1,Livonia Franklin,"http://maps.google.com/maps?q=Livonia Franklin, 31000 Joy Rd  Livonia, MI 48150",14,Livonia Franklin HS,,,Livonia Franklin HS,,
2,Livonia Clarenceville,"http://maps.google.com/maps?q=Baseball Field, 20155 Middlebelt Rd  Livonia, MI ",54,Livonia - Clarenceville HS,,,Livonia - Clarenceville HS,Farmington HS,North Farmington HS
4,Lawrence,"http://maps.google.com/maps?q=Lawrence Fields, 650 W. St. Joseph St.  Lawrence, MI ",114,Lawrence HS,,,Lawrence HS,Bangor High School,DecaturField
4,Lansing Christian,"http://maps.google.com/maps?q=Lansing Christian High School, 3405 Belle Chase Way  Lansing, MI 0",112,Lansing Christian HS,,,Lansing Christian HS,Lansing - Everett High School,Okemos HS
2,Lake Odessa Lakewood,"http://maps.google.com/maps?q=lakewood high school lake odessa - Baseball, 7223 velte rd  lake odessa, MI ",48,Lake Odessa Lakewood HS,,,Lake Odessa Lakewood HS,Saranac HS,Hastings HS
4,Kingston,"http://maps.google.com/maps?q=Kingston High School - Baseball, 5970 State St  Kingston, MI 48741",122,Kingston HS,,,Kingston HS,Kingston high School,Marlette High School
2,Kingsley,"http://maps.google.com/maps?q=Kingsley Athletic Complex, S. Clark St  Kingsley, MI ",35,Kingsley HS,,,Kingsley HS,Buckley HS,Traverse City Christian HS
3,Houghton Lake,"http://maps.google.com/maps?q=Houghton Lake High School, 4433 W Houghton Lake Dr  Houghton Lake, MI 48629-9786",68,Houghton High School,,,Roscommon HS,Harrison HS,Lake City HS
4,Hillman,"http://maps.google.com/maps?q=Hillman H.S. - Baseball,   Hillman, MI ",103,Hillman HS,,,Hillman HS,Atlanta HS,Posen HS
3,Hemlock,"http://maps.google.com/maps?q=Hemlock HS Baseball Field, 733 Hemlock Rd.   , MI ",77,Hemlock HS,,,Hemlock HS,Saginaw Swan Valley -Field  ,Saginaw Swan Valley High School
2,Hazel Park,"http://maps.google.com/maps?q=Hazel Park High School, 23400 Hughes Ave.  Hazel Park, MI 48030-1595",57,Hazel Park HS,,,Hazel Park HS,Warren Fitzgerald HS,Warren Mott HS
3,Hart,"http://maps.google.com/maps?q=Hart Baseball Field, 300 West Johnson Street  Hart, MI ",69,Hart HS,,,Hart HS,Shelby HS,Mason County Central High School
4,Harbor Springs,"http://maps.google.com/maps?q=Kosequat Field,   , MI ",100,Harbor Springs High School,,,Harbor Springs High School,Harbor Springs2,Harbor Springs1
4,Harbor Beach,"http://maps.google.com/maps?q=Harbor Beach HS, 402 S Fifth  Harbor Beach, MI 48441",121,Harbor Beach HS,,,Harbor Beach HS,Ubly high School,Bad Axe HS
3,Hanover-Horton,"http://maps.google.com/maps?q=Hanover-Horton High School - Baseball,   Horton, MI ",83,Hanover-Horton HS,,,Hanover-Horton HS,Concord High School,Jackson Lumen Christi HS
2,Hamilton,"http://maps.google.com/maps?q=Hamilton HS, 4911 136th Ave  Hamilton, MI 49419",43,Hamilton HS,,,Hamilton HS - Field 2,Hamilton HS,Fennville HS
2,Grosse Pointe Woods University Liggett,"http://maps.google.com/maps?q=University Liggett School - Baseball, 1045 Cook Rd  Grosse Pointe Woods, MI 48236, MI ",56,Grosse Pointe Woods University Liggett School,,,Grosse Pointe Woods University Liggett School,Gross Pointe North High School,Detroit East English HS
1,Grosse Pointe North,"http://maps.google.com/maps?q=Grosse Pointe North, 707 Vernier  Grosse Pointe, MI 48236",20,Gross Pointe North High School,,,Gross Pointe North High School,,
1,Grandville,"http://maps.google.com/maps?q=Grandville High School - Baseball, 4700 Canal SW  Grandville, MI ",5,Greenville HS,,,Grandville Calvin Christian HS,Hudsonville Christian HS,
