date,game_id,away_team_runs,home_team_runs,game_info
2023-02-17,401517549,0,10,
2023-02-17,401516534,2,8,
2023-02-17,401517508,3,13,
2023-02-17,401513005,10,8,
2023-02-17,401516762,5,24,Hughes Bros. Challenge
2023-02-17,401512953,1,14,
2023-02-17,401514184,3,20,
2023-02-17,401519622,8,5,
2023-02-17,401516734,12,15,
2023-02-17,401517051,4,8,
2023-02-17,401517594,2,11,
2023-02-17,401513154,3,9,Wake Forest Tournament
2023-02-17,401514153,4,11,College Baseball Showdown
2023-02-17,401512898,1,7,
2023-02-17,401519539,3,12,
2023-02-17,401513103,10,11,Snowbird Classic
2023-02-17,401517610,2,11,
2023-02-17,401516667,0,16,
2023-02-17,401516579,7,12,
2023-02-18,401517550,3,5,
2023-02-18,401516535,3,6,
2023-02-18,401517509,2,16,
2023-02-18,401516577,9,11,College Baseball Showdown
2023-02-18,401512899,2,11,
2023-02-18,401519540,1,13,
2023-02-18,401519623,3,10,
2023-02-18,401516735,4,5,
2023-02-18,401517611,14,13,
2023-02-18,401517052,1,6,
2023-02-18,401522058,3,4,MLB Desert Invitational
2023-02-18,401517630,0,10,
2023-02-18,401514154,18,6,College Baseball Showdown
2023-02-18,401513006,2,11,
2023-02-18,401512954,2,3,
2023-02-18,401514185,1,17,
2023-02-18,401513104,11,7,Snowbird Classic
2023-02-18,401517528,5,1,
2023-02-18,401516580,1,5,
2023-02-18,401513203,2,3,
2023-02-18,401516668,1,2,
2023-02-18,401516968,5,6,College Baseball Showdown
2023-02-19,401517551,2,9,
2023-02-19,401516536,2,14,
2023-02-19,401513157,1,10,Wake Forest Tournament
2023-02-19,401516666,18,1,College Baseball Showdown
2023-02-19,401514155,9,8,College Baseball Showdown
2023-02-19,401512955,0,9,
2023-02-19,401514186,1,12,
2023-02-19,401516581,10,17,
2023-02-19,401513204,1,19,
2023-02-19,401519624,5,10,
2023-02-19,401517529,4,0,
2023-02-19,401516736,8,16,
2023-02-19,401522059,0,7,MLB Desert Invitational
2023-02-19,401517631,4,14,
2023-02-19,401513156,3,18,Wake Forest Tournament
2023-02-19,401517510,0,8,
2023-02-19,401516578,12,2,College Baseball Showdown
2023-02-19,401513007,2,4,
2023-02-19,401512900,3,5,
2023-02-19,401519541,1,14,
2023-02-19,401513249,2,3,
2023-02-19,401513105,8,5,Snowbird Classic
2023-02-19,401516669,5,4,
2023-02-19,401517612,3,9,
2023-02-19,401517053,11,2,
2023-02-21,401517552,4,18,
2023-02-21,401517644,0,10,
2023-02-21,401516537,7,4,
2023-02-21,401517511,6,1,
2023-02-21,401517666,5,4,
2023-02-21,401513008,2,14,
2023-02-21,401513295,5,15,
2023-02-21,401516765,2,26,
2023-02-21,401517530,3,6,
2023-02-21,401513205,5,9,
2023-02-21,401517632,3,11,
2023-02-21,401517470,7,9,
2023-02-21,401519542,4,7,
2023-02-21,401514187,3,19,
2023-02-21,401517613,11,5,
2023-02-21,401517492,1,13,
2023-02-22,401517645,1,23,
2023-02-22,401513009,0,10,
2023-02-22,401519543,0,10,
2023-02-22,401513251,3,9,
2023-02-22,401517614,3,14,
2023-02-22,401517512,10,9,
2023-02-22,401517667,1,13,
2023-02-22,401512901,8,12,
2023-02-22,401512956,16,4,
2023-02-22,401514188,0,12,
2023-02-22,401516670,8,6,
2023-02-23,401523835,3,4,
2023-02-24,401516838,3,7,Round Rock Classic
2023-02-24,401517646,2,12,
2023-02-24,401516538,10,3,
2023-02-24,401513159,0,6,Wake Forest Tournament
2023-02-24,401514157,10,1,
2023-02-24,401513894,0,6,
2023-02-24,401513296,7,3,
2023-02-24,401516767,3,11,
2023-02-24,401512957,4,11,
2023-02-24,401514189,4,7,
2023-02-24,401513106,10,12,Snowbird Classic
2023-02-24,401519625,5,12,
2023-02-24,401517158,13,4,
2023-02-24,401523836,5,2,
2023-02-24,401516882,9,2,
2023-02-24,401517513,6,13,
2023-02-24,401517471,2,13,
2023-02-24,401513010,5,6,
2023-02-24,401531690,4,9,
2023-02-24,401513252,7,9,
2023-02-24,401516738,3,12,
2023-02-24,401517531,3,8,
2023-02-24,401517374,3,5,
2023-02-24,401516969,2,4,
2023-02-25,401519625,5,12,
2023-02-25,401513351,12,4,Round Rock Classic
2023-02-25,401516883,6,12,
2023-02-25,401513161,1,18,Wake Forest Tournament
2023-02-25,401514158,10,8,
2023-02-25,401513895,3,0,
2023-02-25,401512903,9,6,
2023-02-25,401531691,6,10,
2023-02-25,401513253,0,6,
2023-02-25,401517532,12,9,
2023-02-25,401516739,4,10,
2023-02-25,401513207,10,7,
2023-02-25,401517375,6,12,
2023-02-25,401514095,3,22,
2023-02-25,401517159,1,5,
2023-02-25,401517647,1,4,
2023-02-25,401516539,4,1,
2023-02-25,401517514,3,13,
2023-02-25,401517472,3,10,
2023-02-25,401513297,1,4,
2023-02-25,401512958,0,7,
2023-02-25,401514190,0,1,
2023-02-25,401513107,8,4,Snowbird Classic
2023-02-25,401516970,2,5,
2023-02-25,401519626,0,9,
2023-02-25,401523837,10,4,
2023-02-26,401517553,16,4,Round Rock Classic
2023-02-26,401516884,8,18,
2023-02-26,401513162,1,15,Wake Forest Tournament
2023-02-26,401514159,2,3,
2023-02-26,401513896,1,2,
2023-02-26,401512904,1,14,
2023-02-26,401516768,1,9,
2023-02-26,401512959,1,7,
2023-02-26,401514191,5,6,
2023-02-26,401523838,9,5,
2023-02-26,401516971,4,2,
2023-02-26,401517533,0,15,
2023-02-26,401517376,12,12,
2023-02-26,401517160,3,16,
2023-02-26,401517648,0,6,
2023-02-26,401516540,4,5,
2023-02-26,401517515,7,13,
2023-02-26,401517473,12,3,
2023-02-26,401513012,6,5,
2023-02-26,401531692,2,4,
2023-02-26,401513254,2,20,
2023-02-26,401519642,7,12,
2023-02-26,401514096,3,10,
2023-02-26,401513109,7,17,Snowbird Classic
2023-02-26,401516740,7,11,
2023-02-26,401513208,13,6,
2023-02-26,401519627,12,11,
2023-02-28,401509473,3,0,
2023-02-28,401517633,6,5,
2023-02-28,401517516,18,8,
2023-02-28,401516671,0,9,
2023-02-28,401513299,2,17,
2023-02-28,401513013,4,10,
2023-02-28,401516541,0,23,
2023-02-28,401516769,0,3,
2023-02-28,401512960,0,14,
2023-02-28,401514192,3,11,
2023-02-28,401522768,2,17,
2023-02-28,401517534,1,15,
2023-02-28,401516741,11,23,
2023-02-28,401517649,1,6,
2023-02-28,401513163,6,8,
2023-02-28,401517668,7,11,
2023-02-28,401512905,0,11,
2023-02-28,401519547,3,17,
2023-02-28,401513110,8,11,
2023-02-28,401519628,6,11,
2023-03-01,401517634,3,4,
2023-03-01,401517474,9,10,
2023-03-01,401516583,6,7,
2023-03-01,401512961,7,9,
2023-03-01,401516742,4,5,
2023-03-01,401517650,2,8,
2023-03-01,401517517,10,8,
2023-03-01,401513014,10,14,
2023-03-01,401517493,8,18,
2023-03-03,401517554,2,12,
2023-03-03,401517651,2,8,
2023-03-03,401513164,0,11,Wake Forest Tournament
2023-03-03,401513750,3,5,Cambria College Classic
2023-03-03,401513300,11,13,
2023-03-03,401513015,2,3,
2023-03-03,401516584,10,8,
2023-03-03,401519548,1,11,
2023-03-03,401513210,2,5,
2023-03-03,401516672,7,3,
2023-03-03,401516886,5,1,Cambria College Classic
2023-03-03,401513256,4,10,
2023-03-03,401517475,2,12,
2023-03-03,401513111,7,4,
2023-03-03,401517494,3,7,
2023-03-03,401516796,8,3,Frisco College Baseball Classic
2023-03-03,401516743,2,7,
2023-03-04,401517555,4,26,
2023-03-04,401517652,2,7,
2023-03-04,401513165,4,7,Wake Forest Tournament
2023-03-04,401516887,7,8,Cambria College Classic
2023-03-04,401513301,3,6,
2023-03-04,401513016,5,7,
2023-03-04,401516585,11,10,
2023-03-04,401519549,0,10,
2023-03-04,401513211,9,11,
2023-03-04,401517536,2,4,
2023-03-04,401523839,0,8,
2023-03-04,401516923,15,9,Frisco College Baseball Classic
2023-03-04,401517495,11,12,
2023-03-04,401513431,9,7,Cambria College Classic
2023-03-04,401513257,14,6,
2023-03-04,401517476,6,12,
2023-03-04,401516542,1,13,Shriners Hospitals for Children College Classic
2023-03-04,401516787,0,13,
2023-03-04,401512963,2,21,
2023-03-04,401516744,16,6,
2023-03-04,401523841,7,8,
2023-03-04,401532711,4,5,
2023-03-05,401517556,0,13,
2023-03-05,401517653,9,17,
2023-03-05,401513166,3,10,Wake Forest Tournament
2023-03-05,401513432,4,0,Cambria College Classic
2023-03-05,401513302,4,12,
2023-03-05,401513017,4,15,
2023-03-05,401522520,4,2,Shriners Hospitals for Children College Classic
2023-03-05,401516772,6,16,
2023-03-05,401512964,5,6,
2023-03-05,401517219,8,4,Frisco College Baseball Classic
2023-03-05,401517537,6,7,
2023-03-05,401517496,3,4,
2023-03-05,401513752,5,14,Cambria College Classic
2023-03-05,401513258,4,14,
2023-03-05,401517477,2,6,
2023-03-05,401516586,8,14,
2023-03-05,401519550,7,9,
2023-03-05,401513212,1,7,
2023-03-05,401523842,7,15,
2023-03-05,401516745,4,1,
2023-03-06,401517557,0,11,
2023-03-07,401517635,5,11,
2023-03-07,401517518,11,18,
2023-03-07,401517478,5,7,
2023-03-07,401514163,8,7,
2023-03-07,401513018,4,8,
2023-03-07,401519551,11,6,
2023-03-07,401514193,1,8,
2023-03-07,401523843,0,6,
2023-03-07,401516675,0,5,
2023-03-07,401517616,2,12,
2023-03-07,401516643,7,6,
2023-03-07,401513167,11,13,
2023-03-07,401517669,1,12,
2023-03-07,401512909,1,11,
2023-03-07,401513303,4,22,
2023-03-07,401516544,5,13,
2023-03-07,401516587,1,10,
2023-03-07,401517538,2,6,
2023-03-07,401516746,5,10,
2023-03-07,401513213,1,4,
2023-03-07,401519629,11,17,
2023-03-07,401517497,1,4,
2023-03-07,401516975,5,7,
2023-03-08,401517558,2,9,
2023-03-08,401517670,1,2,
2023-03-08,401513019,5,15,
2023-03-08,401519552,7,21,
2023-03-08,401516676,2,1,
2023-03-08,401514133,0,4,
2023-03-08,401513214,3,5,
2023-03-08,401517498,6,3,
2023-03-08,401516976,3,11,
2023-03-08,401517519,0,11,
2023-03-08,401513304,4,7,
2023-03-08,401516545,6,1,
2023-03-08,401514194,19,1,
2023-03-08,401517539,2,9,
2023-03-08,401513259,6,3,
2023-03-08,401519630,9,4,
2023-03-10,401517559,1,11,
2023-03-10,401513523,7,15,
2023-03-10,401517520,2,3,
2023-03-10,401517479,4,7,
2023-03-10,401514164,14,2,
2023-03-10,401513020,7,3,
2023-03-10,401512966,8,9,
2023-03-10,401513116,2,3,
2023-03-10,401533850,1,6,
2023-03-10,401517540,5,4,
2023-03-10,401519631,9,18,
2023-03-10,401513067,4,7,
2023-03-10,401517617,2,8,
2023-03-10,401516977,1,8,
2023-03-10,401517654,4,23,
2023-03-10,401513168,8,6,
2023-03-10,401517671,1,2,
2023-03-10,401512910,7,11,
2023-03-10,401513305,3,13,
2023-03-10,401516546,1,8,
2023-03-10,401519553,10,7,
2023-03-10,401514195,3,20,
2023-03-10,401513215,8,9,
2023-03-10,401523844,2,1,
2023-03-10,401517499,1,7,
2023-03-11,401517560,0,12,
2023-03-11,401517655,3,6,
2023-03-11,401513169,1,8,
2023-03-11,401517521,0,11,
2023-03-11,401517480,1,6,
2023-03-11,401514165,1,3,
2023-03-11,401513307,7,3,
2023-03-11,401513022,0,6,
2023-03-11,401519555,15,3,
2023-03-11,401514196,5,8,
2023-03-11,401513117,3,5,
2023-03-11,401513216,2,10,
2023-03-11,401519632,0,15,
2023-03-11,401519633,5,4,
2023-03-11,401517656,0,6,
2023-03-11,401513524,6,7,
2023-03-11,401533910,5,3,
2023-03-11,401517672,0,2,
2023-03-11,401512911,2,6,
2023-03-11,401513306,8,5,
2023-03-11,401513021,8,4,
2023-03-11,401516547,1,12,
2023-03-11,401519554,2,6,
2023-03-11,401512967,1,8,
2023-03-11,401514197,3,10,
2023-03-11,401517541,7,2,
2023-03-11,401516978,4,10,
2023-03-11,401517618,3,4,
2023-03-11,401513068,2,15,
2023-03-11,401517500,8,3,
2023-03-11,401517619,4,12,
2023-03-11,401513069,17,4,
2023-03-11,401517501,8,7,
