,0
0,MI_BB_pARKS
1,Ironwood Youth Field
2,Foul
3,FOP
4,Ubly high School
5,Foul
6,FOP
7,Ironwood High School
8,Foul
9,FOP
10,Harbor Springs Youth 1
11,Y1_Foul
12,Y1_FOP
13,Harbor Springs Youth 2
14,Y2_Foul
15,Y2_FOP
16,Harbor Springs High School
17,HS_Foul
18,FOP
19,Plymouth-Canton-Salem
20,Plymouth_Foul
21,Plymouth_FOP
22,Hudsonville HS
23,Foul_Hudsonville Christian
24,FOP_Hudsonville Christian
25,P_Foul
26,P_FOP
27,P_Foul_2
28,P_FOP_2
29,Foul_Stevenson_Lakeshore
30,FOP_Stevenson_Lakeshore
31,Salem High School
32,Salem_Foul
33,Salem_FOP
34,Canton High School
35,Canton_Foul
36,Canton_FOP
37,Decatur Youth Field
38,Y_Foul
39,Y_FOP
40,Noway Youth 3
41,Y3_Foul
42,Y3_FOP
43,Noway Youth 2
44,Y2_Foul
45,Y2_FOP
46,Noway Youth 1
47,Y_Foul
48,Y_FOP
49,Bay City All Saints HS
50,Foul
51,FOP
52,Bay City All Saints Youth Field
53,Y_Foul
54,Y_FOP
55,GR West Catholic
56,Foul
57,FOP
58,GR West Catholic Youth Field
59,Y_Foul
60,Y_FOP
61,Pelson HS - Youth 2
62,Y_Foul_2
63,Y_FOP_2
64,Pelson HS - Youth 1
65,Y_Foul
66,Y_FOP
67,Detroit Catholic Central - Field 2
68,Foul_2
69,FOP_2
70,Garber High School Essexville
71,Foul
72,FOP
73,Garber High School Essexville
74,Foul
75,FOP
76,Ironwood HS Baseball
77,Foul
78,Fair
79,Alden - Antrim County - Lakeside Field
80,FOP
81,Foul
82,Boyne City County Park
83,Foul
84,FOP
85,Boyne City - Youth Field
86,14u_Foul
87,14u_FOP
88,USA - unionville - Youth 1
89,Y1_FOP
90,Y1_Foul
91,USA - Unionville Seabawing High School
92,HS_Foul
93,FOP
94,USA - Unionville Seabawing - Youth 2
95,Y2_Foul
96,Y2_FOP
97,Mendon Youth 1
98,Y1_Foul
99,Y1_FOP
100,Mendon Youth 2
101,Y2_Foul
102,Y2_FOP
103,Muskegon Western Michigan Christian
104,Foul
105,FOP
106,Mendon High School
107,Foul
108,FOP
109,Whitmore Lake High School
110,Foul
111,FOP
112,Kalamazoo Hackett Prep High School
113,Foul
114,FOP
115,Kingston high School
116,Foul
117,FOP
118,Decatur High School
119,Foul
120,FOP
121,Norway High School
122,HS_Foul
123,HS_FOP
124,Marion High School
125,Foul
126,FOP
127,Marlette High School
128,Foul
129,FOP
130,Gabriel Richard HS - Baseball
131,Foul
132,FOP
133,Mayville High School
134,Foul
135,FOP
136,Parkway Christian School - Baseball - Sterling Heights
137,Foul
138,FOP
139,Ironwood High School - Miners Memorial Park
140,Foul
141,FOP
142,Whittemore-Prescott High School
143,Foul
144,FOP
145,Pelson High School
146,Foul
147,FOP
148,Detroit Catholic Central HS - Novi
149,Foul
150,FOP
151,Cranbrook High School
152,Foul
153,FOP
154,Fenway Park - Boston
155,Foul
156,FOP
157,Coors Field - Colorado MLB
158,FOP
159,Foul
160,Gladstone High School
161,Foul_1
162,FOP_1
163,Mason County Central High School
164,Foul
165,FOP
166,Traverse City St Frances
167,Foul
168,FOP
169,Camden-Frontier High School
170,Foul
171,FOP
172,Concord High School
173,Foul
174,FOP
175,Decatur High School - Baseball
176,Foul
177,FOP
178,Fankfort H S
179,Foul
180,FOP
181,Merrill High School
182,Foul
183,FOP
184,Dansville Baseball Field HS
185,Foul
186,FOP
187,Holton High School
188,Foul
189,FOP
190,Gladstone_youth
191,Y_Foul
192,Y_FOP
193,Saginaw Swan Valley High School
194,Foul
195,FOP
196,Richmond High School
197,Foul
198,FOP
199,Ecorse High School
200,Foul
201,FOP
202,Whaley Park - Flint
203,Foul
204,FOP
205,Sanborn Park - Port Huron
206,Foul
207,FOP
208,Chesaning Union HS - Field 2
209,Foul_2
210,FOP_2
211,Chesaning Union High School
212,Foul_1
213,FOP_1
214,Bangor High School
215,Foul
216,FOP
217,Centerville High School
218,Foul
219,FOP
220,Sand Creek High School - Baseball
221,Foul
222,FOP
223,Adrian College
224,Foul
225,FOP
226,Saginaw Swan Valley - Youth Field
227,Y_Foul_1
228,Y_FOP_1
229,Calvin College 2
230,Foul_2
231,FOP_2
232,Clarenceville - Livonia
233,Foul
234,FOP
235,Carleton Airport High School
236,Foul
237,FOP
238,Livonia Franklin HS
239,Foul
240,FOP
241,Edwardsburg HS
242,Foul
243,FOP
244,Calvin College
245,Foul_1
246,FOP_1
247,Petoskey High School
248,Foul
249,FOP
250,Whitehall High School
251,Foul
252,FOP
253,Gladwin High School
254,Foul
255,FOP
256,Clare High School
257,Foul
258,FOP
259,Owosso HS
260,Foul
261,FOP
262,Pewamo-Westphalia
263,Foul
264,FOP
265,Ovid-Elsie
266,Foul
267,FOP
268,Laingsburg HS
269,Foul
270,FOP
271,Lincoln High - Ypsi - Fields 2
272,Foul_2
273,FOP_2
274,Lincoln High - Ypsi - Youth 1
275,Y_Foul_1
276,Y_FOP_1
277,Lincoln High - Ypsi - Youth 2
278,Y_Foul_2
279,Y_FOP_2
280,Saginaw Heritage HS - Field 2
281,Foul_2
282,FOP_2
283,Saginaw Heritage HS
284,Foul 1
285,FOP_1
286,Gross Pointe North High School
287,FOP
288,Foul
289,Aldai Stevenson High School
290,Foul
291,FOP
292,Allen Park High School
293,Foul
294,FOP
295,Lincoln High School - Ypsilanti
296,Foul_1
297,FOP_1
298,Trenton High School
299,Foul
300,FOP
301,Coldwater Heritage Park
302,Foul
303,FOP
304,Borden Field  Coldwater
305,Foul
306,FOP
307,Wayne State Univ
308,Foul
309,FOP
310,Mt Pleasant HS
311,Foul
312,FOP
313,Novi HS
314,Foul
315,FOP
316,West Bloomfield HS
317,Foul
318,FOP
319,Rochester HS
320,Foul
321,FOP
322,Klenk Park - Alma Scots
323,Foul
324,FOP
325,Cornerstone Baseball Field - Grand Rapids
326,Foul
327,FOP
328,Jenison High School
329,Foul
330,FOP
331,Portage Northern High School
332,Foul
333,FOP
334,Alden - Antrim County - Lakeside Field
335,FOP
336,Foul
337,Algonac High School
338,Foul
339,FOP
340,Bronson high School
341,Foul
342,FOP
343,Athens High School - Troy
344,Foul
345,FOP
346,Centerville High School
347,Foul
348,FOP
349,Battle Creek lakeview
350,Foul
351,FOP
352,Bay City john Glen
353,Foul
354,FOP
355,Clinton High School
356,Foul
357,FOP
358,Garber High School Essexville
359,Foul
360,FOP
361,Gross Pointe South
362,Foul
363,FOP
364,Grosse Ile High School
365,Foul
366,FOP
367,Holland Christian Baseball Field
368,Foul
369,FOP
370,Hope College - Holland
371,Foul
372,FOP
373,Kalamazoo College
374,Foul
375,FOP
376,Houghton High School
377,Foul
378,FOP
379,Oakland University
380,Foul
381,FOP
382,Hudson high School
383,Foul
384,FOP
385,Ironwood HS Baseball
386,Foul
387,Fair
388,Onsted
389,Foul
390,FOP
391,Rockford
392,Foul
393,FOP
394,Sandusky High School
395,Foul
396,FOP
397,Whiteford High School - Ottawa Lake
398,Foul
399,FOP
400,Klenk Park - Alma Scots
401,Foul
402,FOP
