,field,home_plate,foul_ft,fop_ft,foul_pct
0,. Beal City,"-84.9127615,43.6741539,0",25698.31188574179,89488.15585159321,22.310183123544366
1,. Buchanan,"-86.37097850000001,41.8239409,0",22659.935252631738,88476.13650535869,20.389361342531473
2,. Grosse Pointe Woods University Liggett,"-82.90074989999999,42.4260393,0",22388.47394072804,83118.81883091317,21.219835475435236
3,. Jackson Lumen Christi,"-84.4602665,42.2219816,0",20497.61883570762,92031.701896671,18.215358186028524
4,. Kalamazoo Christian,"-85.6134503,42.273406,0",23934.31071069777,92206.40662628204,20.608027278885217
5,. Royal Oak Shrine,"-83.1842663,42.5195961,0",14713.118772613512,97502.16666117308,13.111510357735614
6,. Hemlock,"-84.2333581,43.4238904,0",24829.666201981476,87160.37509010498,22.17131623089777
7,. Chesaning,"-84.1253816,43.1946837,0",42709.40335811998,93437.23628365758,31.370148738518182
8,. Maple City Glen Lake,"-85.91890239999999,44.8515684,0",23438.08516080072,92407.7167202153,20.23214029358934
9,. Midland Bullock Creek,"-84.29441850000001,43.5717901,0",29072.807794037537,99260.194611535,22.654194360822594
10,. Rogers City,"-83.8041977,45.41751360000001,0",18534.92547420601,71875.3968815367,20.500895242111373
11,. Standish-Sterling,"-83.9548964,44.0156178,0",27613.119759138834,95494.59827167215,22.430047604511614
12,. New Lothrop,"-83.9746703,43.122242,0",37413.5597848138,89468.33618443857,29.48691734073735
13,. Rochester Hills Lutheran Northwest,"-83.1544493,42.6409811,0",19787.40549652018,71052.62656065029,21.782693211806567
14,. Bridgman,"-86.5447454,41.9367931,0",29299.12396411093,94095.28709961646,23.744287696287408
15,. Indian River Inland Lakes,"-84.6358958,45.3838713,0",14836.164343000353,85638.11734406523,14.766131286420798
16,. Breckenridge,"-84.4724901,43.413141,0",22445.345278231176,82497.39483544062,21.388182978564164
17,. Essexville Garber,"-83.8341762,43.6056341,0",25204.308495758098,91284.19933622329,21.636733927532006
18,. Watervliet,"-86.24979620000001,42.1861372,0",29976.727597505032,90757.15620915357,24.82876111689516
19,. Bad Axe,"-83.0174535,43.8055552,0",38845.408513958886,86274.33514541006,31.04658575685161
20,. Cheboygan,"-84.49712839999999,45.6300425,0",28930.119254536676,94238.97678168614,23.488131508271046
