,Unnamed: 0,field,home_plate,foul_ft,fop_ft,foul_pct,match,mat2
0,0,. Beal City,"-84.9127615,43.6741539,0",25698.3118857417,89488.1558515932,22.3101831235443,. beal city,[]
1,1,. Buchanan,"-86.37097850000001,41.8239409,0",22659.9352526317,88476.1365053586,20.3893613425314,. buchanan,[]
2,2,. Grosse Pointe Woods University Liggett,"-82.90074989999999,42.4260393,0",22388.473940728,83118.8188309131,21.2198354754352,. grosse pointe woods university liggett,['grosse pointe woods - university liggett hs']
3,3,. Jackson Lumen Christi,"-84.4602665,42.2219816,0",20497.6188357076,92031.701896671,18.2153581860285,. jackson lumen christi,['jackson - lumen christi hs']
4,4,. Kalamazoo Christian,"-85.6134503,42.273406,0",23934.3107106977,92206.406626282,20.6080272788852,. kalamazoo christian,['kalamazoo christian hs']
5,5,. Royal Oak Shrine,"-83.1842663,42.5195961,0",14713.1187726135,97502.166661173,13.1115103577356,. royal oak shrine,[]
6,6,. Hemlock,"-84.2333581,43.4238904,0",24829.6662019814,87160.3750901049,22.1713162308977,. hemlock,[]
7,7,. Chesaning,"-84.1253816,43.1946837,0",42709.4033581199,93437.2362836575,31.3701487385181,. chesaning,[]
8,8,. Maple City Glen Lake,"-85.91890239999999,44.8515684,0",23438.0851608007,92407.7167202153,20.2321402935893,. maple city glen lake,['maple city - glen lake hs']
9,9,. Midland Bullock Creek,"-84.29441850000001,43.5717901,0",29072.8077940375,99260.194611535,22.6541943608225,. midland bullock creek,['midland - bullock creek hs']
10,10,. Rogers City,"-83.8041977,45.41751360000001,0",18534.925474206,71875.3968815367,20.5008952421113,. rogers city,['rogers city hs']
11,11,. Standish-Sterling,"-83.9548964,44.0156178,0",27613.1197591388,95494.5982716721,22.4300476045116,. standish-sterling,['standish-sterling hs']
12,12,. New Lothrop,"-83.9746703,43.122242,0",37413.5597848138,89468.3361844385,29.4869173407373,. new lothrop,['new lothrop hs']
13,13,. Rochester Hills Lutheran Northwest,"-83.1544493,42.6409811,0",19787.4054965201,71052.6265606502,21.7826932118065,. rochester hills lutheran northwest,['rochester hills - lutheran northwest hs']
14,14,. Bridgman,"-86.5447454,41.9367931,0",29299.1239641109,94095.2870996164,23.7442876962874,. bridgman,[]
15,15,. Indian River Inland Lakes,"-84.6358958,45.3838713,0",14836.1643430003,85638.1173440652,14.7661312864207,. indian river inland lakes,['indian river - inland lakes hs']
16,16,. Breckenridge,"-84.4724901,43.413141,0",22445.3452782311,82497.3948354406,21.3881829785641,. breckenridge,['breckenridge hs']
17,17,. Essexville Garber,"-83.8341762,43.6056341,0",25204.308495758,91284.1993362232,21.636733927532,. essexville garber,['essexville - garber hs']
18,18,. Watervliet,"-86.24979620000001,42.1861372,0",29976.727597505,90757.1562091535,24.8287611168951,. watervliet,['watervliet hs']
19,19,. Bad Axe,"-83.0174535,43.8055552,0",38845.4085139588,86274.33514541,31.0465857568516,. bad axe,[]
20,20,. Cheboygan,"-84.49712839999999,45.6300425,0",28930.1192545366,94238.9767816861,23.488131508271,. cheboygan,[]
21,21,. Marine City Cardinal Mooney,"-82.8877279,42.5352846,0",35258.3255566848,89228.7387808347,28.3228829793026,. marine city cardinal mooney,[]
22,22,Adrian College,"-84.0697145,41.901861,0",14280.3593021963,106000.287110862,11.8725328870912,adrian college,[]
