,school_id,school_name,enrollment_total,enrollment_classification,division,level,match
0,9448,Macomb - Dakota HS,2876,2876,A,high_school,macomb - dakota hs
1,2237,Grand Blanc HS,2812,2812,A,high_school,grand blanc hs
2,5792,East Kentwood HS,2678,2678,A,high_school,east kentwood hs
3,6980,Dearborn - Fordson HS,2613,2613,A,high_school,dearborn - fordson hs
4,3020,Shelby Township - Utica Eisenhower HS,2555,2555,A,high_school,shelby township - utica eisenhower hs
5,5628,Northville HS,2509,2509,A,high_school,northville hs
6,4183,Rockford HS,2480,2480,A,high_school,rockford hs
7,4893,Detroit - Cass Technical HS,2452,2452,A,high_school,detroit - cass technical hs
8,2666,Sterling Heights - Utica Stevenson HS,2433,2433,A,high_school,sterling heights - utica stevenson hs
9,1874,Clinton Township - Chippewa Valley HS,2386,2386,A,high_school,clinton township - chippewa valley hs
10,5074,Howell HS,2375,2375,A,high_school,howell hs
11,3953,Lake Orion HS,2309,2309,A,high_school,lake orion hs
12,7038,Oxford HS,2299,2299,A,high_school,oxford hs
13,1742,Troy HS,2285,2285,A,high_school,troy hs
14,2856,Clarkston HS,2250,2250,A,high_school,clarkston hs
15,3680,Ann Arbor - Pioneer HS,2185,2185,A,high_school,ann arbor - pioneer hs
16,3747,Canton - Salem HS,2183,2183,A,high_school,canton - salem hs
17,2839,Canton - Plymouth HS,2140,2140,A,high_school,canton - plymouth hs
18,5116,Canton HS,2127,2127,A,high_school,canton hs
19,6485,Holland - West Ottawa HS,2124,2124,A,high_school,holland - west ottawa hs
20,7376,Dearborn HS,2075,2075,A,high_school,dearborn hs
21,5140,West Bloomfield HS,2052,2052,A,high_school,west bloomfield hs
22,1016,Brighton HS,2045,2045,A,high_school,brighton hs
23,1833,Novi HS,2033,2033,A,high_school,novi hs
24,8077,Hudsonville HS,2026,2026,A,high_school,hudsonville hs
25,4101,Grand Haven HS,1944,1944,A,high_school,grand haven hs
26,6832,Hartland HS,1938,1938,A,high_school,hartland hs
27,7541,Grand Rapids - Union HS,1908,1908,A,high_school,grand rapids - union hs
28,1147,Southfield HS for the Arts & Technology,1893,1893,A,high_school,southfield hs for the arts & technology
