,0
0,My Places
1,Gladstone High School
2,Foul_1
3,FOP_1
4,Mason County Central High School
5,Foul
6,FOP
7,Traverse City St Frances
8,Foul
9,FOP
10,Camden-Frontier High School
11,Foul
12,FOP
13,Concord High School
14,Foul
15,FOP
16,Decatur High School - Baseball
17,Foul
18,FOP
19,Fankfort H S
20,Foul
21,FOP
22,Merrill High School
23,Foul
24,FOP
25,Dansville Baseball Field HS
26,Foul
27,FOP
28,Holton High School
29,Foul
30,FOP
31,Gladstone_youth
32,Y_Foul
33,Y_FOP
34,Saginaw Swan Valley High School
35,Foul
36,FOP
37,Richmond High School
38,Foul
39,FOP
40,Ecorse High School
41,Foul
42,FOP
43,Whaley Park - Flint
44,Foul
45,FOP
46,Sanborn Park - Port Huron
47,Foul
48,FOP
49,Chesaning Union High School
50,Foul_1
51,FOP_1
52,Foul_2
53,FOP_2
54,Bangor High School
55,Foul
56,FOP
57,Centerville High School
58,Foul
59,FOP
60,Sand Creek High School - Baseball
61,Foul
62,FOP
63,Adrian College
64,Foul
65,FOP
66,Saginaw Swan Valley - Youth Field
67,Y_Foul_1
68,Y_FOP_1
69,Calvin College 2
70,Foul_2
71,FOP_2
72,Clarenceville - Livonia
73,Foul
74,FOP
75,Carleton Airport High School
76,Foul
77,FOP
78,Livonia Franklin HS
79,Foul
80,FOP
81,Edwardsburg HS
82,Foul
83,FOP
84,Calvin College
85,Foul_1
86,FOP_1
87,Petoskey High School
88,Foul
89,FOP
90,Whitehall High School
91,Foul
92,FOP
93,Gladwin High School
94,Foul
95,FOP
96,Clare High School
97,Foul
98,FOP
99,Owosso HS
100,Foul
101,FOP
102,Pewamo-Westphalia
103,Foul
104,FOP
105,Ovid-Elsie
106,Foul
107,FOP
108,Laingsburg HS
109,Foul
110,FOP
111,Lincoln High - Ypsi - Fields 2
112,Foul_2
113,FOP_2
114,Lincoln High - Ypsi - Youth 1
115,Y_Foul_1
116,Y_FOP_1
117,Lincoln High - Ypsi - Youth 2
118,Y_Foul_2
119,Y_FOP_2
120,Saginaw Heritage HS
121,Foul 1
122,FOP_1
123,Foul_2
124,FOP_2
125,Gross Pointe North High School
126,FOP
127,Foul
128,Aldai Stevenson High School
129,Foul
130,FOP
131,Allen Park High School
132,Foul
133,FOP
134,Lincoln High School - Ypsilanti
135,Foul_1
136,FOP_1
137,Trenton High School
138,Foul
139,FOP
140,Coldwater Heritage Park
141,Foul
142,FOP
143,Borden Field  Coldwater
144,Foul
145,FOP
146,Wayne State Univ
147,Foul
148,FOP
149,Mt Pleasant HS
150,Foul
151,FOP
152,Novi HS
153,Foul
154,FOP
155,West Bloomfield HS
156,Foul
157,FOP
158,Rochester HS
159,Foul
160,FOP
161,Klenk Park - Alma Scots
162,Foul
163,FOP
164,Cornerstone Baseball Field - Grand Rapids
165,Foul
166,FOP
167,Jenison High School
168,Foul
169,FOP
170,Portage Northern High School
171,Foul
172,FOP
173,Alden - Antrim County - Lakeside Field
174,FOP
175,Foul
176,Algonac High School
177,Foul
178,FOP
179,Athens High School - Troy
180,Foul
181,FOP
182,Battle Creek lakeview
183,Foul
184,FOP
185,Bay City john Glen
186,Foul
187,FOP
188,Bronson High School
189,Foul
190,FOP
191,Centerville High School
192,Foul
193,FOP
194,Clinton High School
195,Foul
196,FOP
197,Garber High School Essexville
198,Foul
199,FOP
200,Gross Pointe South
201,Foul
202,FOP
203,Grosse Ile High School
204,Foul
205,FOP
206,Holland Christian Baseball Field
207,Foul
208,FOP
209,Hope College - Holland
210,Foul
211,FOP
212,Houghton High School
213,Foul
214,FOP
215,Hudson high School
216,Foul
217,FOP
218,Ironwood HS Baseball
219,Foul
220,Fair
221,Kalamazoo College
222,Foul
223,FOP
224,Oakland university
225,Foul
226,FOP
227,Onsted
228,Foul
229,FOP
230,Rockford
231,Foul
232,FOP
233,Sandusky High School
234,Foul
235,FOP
236,Whiteford High School - Ottawa Lake
237,Foul
238,FOP
239,MI_BB_pARKS
240,Klenk Park - Alma Scots
241,Foul
242,FOP
243,BB_regional_5
244,BB_regional_6
245,Gabriel Richard HS - Baseball
246,Foul
247,FOP
248,Mayville High School
249,Foul
250,FOP
251,Parkway Christian School - Baseball - Sterling Heights
252,Foul
253,FOP
254,Ironwood High School - Miners Memorial Park
255,Foul
256,Whittemore-Prescott High School
257,Foul
258,FOP
259,Pelson High School
260,Foul
261,FOP
262,Y_Foul
263,Y_FOP
264,Y_Foul_2
265,Y_FOP_2
266,Detroit Catholic Central HS - Novi
267,Foul_2
268,FOP_2
269,Foul
270,FOP
271,Cranbrook High School
272,Foul
273,FOP
274,Fenway Park - Boston
275,Foul
276,FOP
277,Coors Field - Colorado MLB
278,FOP
279,Foul
280,Garber High School Essexville
281,Foul
282,FOP
283,Ironwood HS Baseball
284,Foul
285,Fair
286,BB_Parks_random_12_5
287,Garber High School Essexville
288,Foul
289,FOP
290,Ironwood HS Baseball
291,Foul
292,Fair
293,Alden - Antrim County - Lakeside Field
294,FOP
295,Foul
296,Boyne City County Park
297,14u_Foul
298,14u_FOP
299,Foul
300,FOP
301,Untitled layer
302,USA - Unionville Seabawing with- youth
303,Y1_FOP
304,Y1_Foul
305,Y2_Foul
306,Y2_FOP
307,HS_Foul
308,FOP
309,BB_parks_ranks_div4_last
310,Muskegon Western Michigan Christian
311,Foul
312,FOP
313,Mendon High School
314,Foul
315,FOP
316,Y1_Foul
317,Y1_FOP
318,Y2_Foul
319,Y2_FOP
320,Whitmore Lake High School
321,Foul
322,FOP
323,Kalamazoo Hackett Prep High School
324,Foul
325,FOP
326,Kingston high School
327,Foul
328,FOP
329,Decatur High School
330,Foul
331,FOP
332,Y_Foul
333,Y_FOP
334,Norway High School
335,Y_Foul
336,Y_FOP
337,HS_Foul
338,HS_FOP
339,Y2_Foul
340,Y2_FOP
341,Y3_Foul
342,Y3_FOP
343,Marion High School
344,Foul
345,FOP
346,Marlette High School
347,Foul
348,FOP
349,Bay City All Saints HS
350,Foul
351,FOP
352,Y_Foul
353,Y_FOP
354,BB_12_6_ranked
355,GR West Catholic
356,Foul
357,FOP
358,Y_Foul
359,Y_FOP
360,BB_Parks_random_12_5
361,Boyne City County Park
362,14u_Foul
363,14u_FOP
364,Foul
365,FOP
366,USA - Unionville Seabawing with- youth
367,Y1_FOP
368,Y1_Foul
369,Y2_Foul
370,Y2_FOP
371,HS_Foul
372,FOP
373,Plymouth-Canton-Salem
374,Plymouth_Foul
375,Plymouth_FOP
376,Salem_Foul
377,Salem_FOP
378,Canton_Foul
379,Canton_FOP
380,Hudsonville HS
381,Foul_Hudsonville Christian
382,FOP_Hudsonville Christian
383,P_Foul
384,P_FOP
385,P_Foul_2
386,P_FOP_2
387,Foul_Stevenson_Lakeshore
388,FOP_Stevenson_Lakeshore
389,Harbor Springs High School
390,HS_Foul
391,FOP
392,Y1_Foul
393,Y1_FOP
394,Y2_Foul
395,Y2_FOP
