School Name,u_school_id,school_district,school_district_id,total_students,teachers,student_teacher_ratio,lunch_free_count,lunch_reduced_count,lunch_total_count,9th,10th,11th,12th,demo_pct_American Indian,demo_pct_Asian,demo_pct_Black,demo_pct_Hispanic,demo_pct_Pacific Islander,demo_pct_White,demo_pct_Two_or_More,Male,Female,HS_ENROLL,Coed,Relig,Locale_x,Community_Type,Charter,Magnet,Relig_subtype,type,Street Address,City,State,ZIP,Locale_y,PSS_COUNTY_NO,County FIPS,Phone,Locale,student_teacher_info,County Name,PSS_ASSOC_1,Title I School,Title 1 School Wide
54th Street Academy,262016008622,Kelloggsville Public Schools,2620160.0,66.0,2.4,27.5,54,2,56,0.0,17.0,10.0,39.0,0.015151515151515152,0.030303030303030304,0.2727272727272727,0.3787878787878788,0.0,0.16666666666666666,0.13636363636363635,0.007805325987144169,0.0073461891643709825,27.0,Yes,None,Suburb: Large,Suburban,No,No,None,public,173 54TH ST SW,GRAND RAPIDS,MI,49548,Suburb: Large,,,,,,,,,
Academic and Career Education Academy,260033004509,Academic And Career Education Academy,2600330.0,100.0,5.52,18.12,92,4,96,23.0,42.0,18.0,17.0,0.0,0.0,0.09,0.01,0.01,0.89,0.0,0.0051,0.0049,83.0,Yes,None,Rural: Fringe,Rural,Yes,No,None,public,884 EAST ISABELLA RD,MIDLAND,MI,48640,Rural: Fringe,,,,,,,,,
Academy for Business and Technology High School,260016601035,Academy For Business And Technology,2600166.0,281.0,16.8,16.73,267,2,269,40.0,44.0,42.0,,0.0,0.0,0.9288256227758007,0.03914590747330961,0.0,0.021352313167259787,0.010676156583629894,0.0019376654297691266,0.0016210534314408378,126.0,Yes,None,Suburb: Large,Suburban,Yes,No,None,public,19625 WOOD ST,MELVINDALE,MI,48122,Suburb: Large,,,,,,,,,
ACCE,263663008789,Ypsilanti Community Schools,2636630.0,187.0,7.5,24.93,158,4,162,18.0,32.0,41.0,,0.0053475935828877,0.0053475935828877,0.6524064171122995,0.026737967914438502,0.0,0.20320855614973263,0.10695187165775401,0.0029740627412851383,0.0023735308416025624,91.0,Yes,None,Suburb: Large,Suburban,No,Yes,None,public,1076 Ecorse Road,Ypsilanti,MI,48198,Suburb: Large,,,,,,,,,
Accelerated Learning Academy,261452002043,Flint School District Of The City Of,2614520.0,158.0,10.2,15.49,151,1,152,69.0,46.0,23.0,14.0,0.0,0.0,0.8417721518987342,0.0,0.0,0.12025316455696203,0.0379746835443038,0.004045825989424772,0.0022832879346258612,138.0,Yes,None,City: Small,City,No,No,None,public,1602 S AVERILL AVE,FLINT,MI,48503,City: Small,,,,,,,,,
ACE,263582008977,West Bloomfield School District,2635820.0,32.0,0.0,†,18,0,18,0.0,0.0,7.0,25.0,0.0,0.0,0.59375,0.03125,0.0,0.375,0.0,0.017578125,0.013671875,7.0,Yes,None,Suburb: Large,Suburban,No,No,None,public,7071 ORCHARD LAKE RD,W BLOOMFIELD,MI,48322,Suburb: Large,,,,,,,,,
ACES Academy,260273001594,Alpena Public Schools,2602730.0,61.0,1.17,52.14,41,1,42,3.0,19.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.9344262295081968,0.06557377049180328,0.0061811341037355545,0.010212308519215264,41.0,Yes,None,Town: Remote,Town,No,No,None,public,3303 S THIRD AVE,ALPENA,MI,49707,Town: Remote,,,,,,,,,
Ackerson Lake Community Education,262496001591,Napoleon Community Schools,2624960.0,76.0,2.5,30.4,52,3,55,5.0,13.0,20.0,38.0,0.0,0.0,0.013157894736842105,0.02631578947368421,0.0,0.9342105263157895,0.02631578947368421,0.007271468144044322,0.005886426592797784,38.0,Yes,None,Rural: Fringe,Rural,No,No,None,public,PO Box 308,Napoleon,MI,49261,Rural: Fringe,,,,,,,,,
ACTech High School,263663008476,Ypsilanti Community Schools,2636630.0,426.0,32.0,13.31,318,8,326,111.0,119.0,101.0,95.0,0.002347417840375587,0.009389671361502348,0.5727699530516432,0.1784037558685446,0.0,0.15258215962441316,0.08450704225352113,0.0013169785536379466,0.0010304392867376403,331.0,Yes,None,Suburb: Large,Suburban,No,No,None,public,2095 Packard Road,YPSILANTI,MI,48197,Suburb: Large,,,,,,,,,
AD Johnston JrSr High School,260000603854,Bessemer Area School District,2600006.0,177.0,12.48,14.18,89,8,97,21.0,30.0,30.0,35.0,0.005649717514124294,0.011299435028248588,0.011299435028248588,0.03954802259887006,0.0,0.8870056497175142,0.04519774011299435,0.0028408184110568484,0.0028088991030674458,81.0,Yes,None,Rural: Distant,Rural,No,No,None,public,100 WEST LEAD ST,BESSEMER,MI,49911,Rural: Distant,,,,,,,,,
